domain units: Hz
measurement data type: Positive<double>
segment length (sec): 16
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.0625)
support bounds (Hz): [20, 1024)support indexes: [320, 16384)
---------------
domainValue measuredValue
0 1
0.0625 1
0.125 1
0.1875 1
0.25 1
0.3125 1
0.375 1
0.4375 1
0.5 1
0.5625 1
0.625 1
0.6875 1
0.75 1
0.8125 1
0.875 1
0.9375 1
1 1
1.0625 1
1.125 1
1.1875 1
1.25 1
1.3125 1
1.375 1
1.4375 1
1.5 1
1.5625 1
1.625 1
1.6875 1
1.75 1
1.8125 1
1.875 1
1.9375 1
2 1
2.0625 1
2.125 1
2.1875 1
2.25 1
2.3125 1
2.375 1
2.4375 1
2.5 1
2.5625 1
2.625 1
2.6875 1
2.75 1
2.8125 1
2.875 1
2.9375 1
3 1
3.0625 1
3.125 1
3.1875 1
3.25 1
3.3125 1
3.375 1
3.4375 1
3.5 1
3.5625 1
3.625 1
3.6875 1
3.75 1
3.8125 1
3.875 1
3.9375 1
4 1
4.0625 1
4.125 1
4.1875 1
4.25 1
4.3125 1
4.375 1
4.4375 1
4.5 1
4.5625 1
4.625 1
4.6875 1
4.75 1
4.8125 1
4.875 1
4.9375 1
5 1
5.0625 1
5.125 1
5.1875 1
5.25 1
5.3125 1
5.375 1
5.4375 1
5.5 1
5.5625 1
5.625 1
5.6875 1
5.75 1
5.8125 1
5.875 1
5.9375 1
6 1
6.0625 1
6.125 1
6.1875 1
6.25 1
6.3125 1
6.375 1
6.4375 1
6.5 1
6.5625 1
6.625 1
6.6875 1
6.75 1
6.8125 1
6.875 1
6.9375 1
7 1
7.0625 1
7.125 1
7.1875 1
7.25 1
7.3125 1
7.375 1
7.4375 1
7.5 1
7.5625 1
7.625 1
7.6875 1
7.75 1
7.8125 1
7.875 1
7.9375 1
8 1
8.0625 1
8.125 1
8.1875 1
8.25 1
8.3125 1
8.375 1
8.4375 1
8.5 1
8.5625 1
8.625 1
8.6875 1
8.75 1
8.8125 1
8.875 1
8.9375 1
9 1
9.0625 1
9.125 1
9.1875 1
9.25 1
9.3125 1
9.375 1
9.4375 1
9.5 1
9.5625 1
9.625 1
9.6875 1
9.75 1
9.8125 1
9.875 1
9.9375 1
10 1
10.0625 1
10.125 1
10.1875 1
10.25 1
10.3125 1
10.375 1
10.4375 1
10.5 1
10.5625 1
10.625 1
10.6875 1
10.75 1
10.8125 1
10.875 1
10.9375 1
11 1
11.0625 1
11.125 1
11.1875 1
11.25 1
11.3125 1
11.375 1
11.4375 1
11.5 1
11.5625 1
11.625 1
11.6875 1
11.75 1
11.8125 1
11.875 1
11.9375 1
12 1
12.0625 1
12.125 1
12.1875 1
12.25 1
12.3125 1
12.375 1
12.4375 1
12.5 1
12.5625 1
12.625 1
12.6875 1
12.75 1
12.8125 1
12.875 1
12.9375 1
13 1
13.0625 1
13.125 1
13.1875 1
13.25 1
13.3125 1
13.375 1
13.4375 1
13.5 1
13.5625 1
13.625 1
13.6875 1
13.75 1
13.8125 1
13.875 1
13.9375 1
14 1
14.0625 1
14.125 1
14.1875 1
14.25 1
14.3125 1
14.375 1
14.4375 1
14.5 1
14.5625 1
14.625 1
14.6875 1
14.75 1
14.8125 1
14.875 1
14.9375 1
15 1
15.0625 1
15.125 1
15.1875 1
15.25 1
15.3125 1
15.375 1
15.4375 1
15.5 1
15.5625 1
15.625 1
15.6875 1
15.75 1
15.8125 1
15.875 1
15.9375 1
16 1
16.0625 1
16.125 1
16.1875 1
16.25 1
16.3125 1
16.375 1
16.4375 1
16.5 1
16.5625 1
16.625 1
16.6875 1
16.75 1
16.8125 1
16.875 1
16.9375 1
17 1
17.0625 1
17.125 1
17.1875 1
17.25 1
17.3125 1
17.375 1
17.4375 1
17.5 1
17.5625 1
17.625 1
17.6875 1
17.75 1
17.8125 1
17.875 1
17.9375 1
18 1
18.0625 1
18.125 1
18.1875 1
18.25 1
18.3125 1
18.375 1
18.4375 1
18.5 1
18.5625 1
18.625 1
18.6875 1
18.75 1
18.8125 1
18.875 1
18.9375 1
19 1
19.0625 1
19.125 1
19.1875 1
19.25 1
19.3125 1
19.375 1
19.4375 1
19.5 1
19.5625 1
19.625 1
19.6875 1
19.75 1
19.8125 1
19.875 1
19.9375 1
20 2.605993061670202e-46
20.0625 3.839673050110151e-46
20.125 5.0733530385501e-46
20.1875 6.307033026990049e-46
20.25 7.540713015429997e-46
20.3125 8.060501629957613e-46
20.375 8.580290244485227e-46
20.4375 9.100078859012842e-46
20.5 9.619867473540458e-46
20.5625 1.032002542558099e-45
20.625 1.102018337762152e-45
20.6875 1.172034132966204e-45
20.75 1.242049928170257e-45
20.8125 1.138486693738428e-45
20.875 1.0349234593066e-45
20.9375 9.313602248747708e-46
21 8.27796990442942e-46
21.0625 1.459892793914918e-45
21.125 2.091988597386895e-45
21.1875 2.724084400858872e-45
21.25 3.356180204330848e-45
21.3125 2.961111820419765e-45
21.375 2.566043436508681e-45
21.4375 2.170975052597597e-45
21.5 1.775906668686514e-45
21.5625 1.473352019578943e-45
21.625 1.170797370471372e-45
21.6875 8.682427213638016e-46
21.75 5.656880722562309e-46
21.8125 5.428089993820526e-46
21.875 5.199299265078744e-46
21.9375 4.970508536336962e-46
22 4.74171780759518e-46
22.0625 5.437957583177637e-46
22.125 6.134197358760095e-46
22.1875 6.830437134342554e-46
22.25 7.526676909925013e-46
22.3125 7.548936459407272e-46
22.375 7.571196008889531e-46
22.4375 7.59345555837179e-46
22.5 7.615715107854047e-46
22.5625 8.006776993899345e-46
22.625 8.397838879944639e-46
22.6875 8.788900765989935e-46
22.75 9.179962652035231e-46
22.8125 9.008147847414287e-46
22.875 8.836333042793345e-46
22.9375 8.664518238172402e-46
23 8.492703433551459e-46
23.0625 7.650632246581234e-46
23.125 6.808561059611005e-46
23.1875 5.96648987264078e-46
23.25 5.124418685670553e-46
23.3125 5.304182578586543e-46
23.375 5.483946471502533e-46
23.4375 5.663710364418523e-46
23.5 5.843474257334512e-46
23.5625 8.606038351476644e-46
23.625 1.136860244561878e-45
23.6875 1.41311665397609e-45
23.75 1.689373063390304e-45
23.8125 1.547580014681283e-45
23.875 1.405786965972262e-45
23.9375 1.263993917263241e-45
24 1.12220086855422e-45
24.0625 9.138220803119185e-46
24.125 7.054432920696168e-46
24.1875 4.970645038273152e-46
24.25 2.886857155850136e-46
24.3125 3.816941777348444e-46
24.375 4.747026398846752e-46
24.4375 5.67711102034506e-46
24.5 6.607195641843369e-46
24.5625 7.358093874240268e-46
24.625 8.108992106637168e-46
24.6875 8.859890339034068e-46
24.75 9.610788571430967e-46
24.8125 8.142328474772734e-46
24.875 6.673868378114501e-46
24.9375 5.205408281456267e-46
25 3.736948184798033e-46
25.0625 5.084610808851613e-46
25.125 6.432273432905192e-46
25.1875 7.779936056958772e-46
25.25 9.127598681012352e-46
25.3125 1.37435317768708e-45
25.375 1.835946487272925e-45
25.4375 2.297539796858769e-45
25.5 2.759133106444614e-45
25.5625 3.200545464730702e-45
25.625 3.64195782301679e-45
25.6875 4.083370181302878e-45
25.75 4.524782539588966e-45
25.8125 4.315006696260346e-45
25.875 4.105230852931728e-45
25.9375 3.895455009603108e-45
26 3.685679166274489e-45
26.0625 3.364102951349064e-45
26.125 3.04252673642364e-45
26.1875 2.720950521498215e-45
26.25 2.39937430657279e-45
26.3125 2.133049317813317e-45
26.375 1.866724329053844e-45
26.4375 1.600399340294371e-45
26.5 1.334074351534898e-45
26.5625 1.196766904223776e-45
26.625 1.059459456912655e-45
26.6875 9.221520096015334e-46
26.75 7.848445622904119e-46
26.8125 7.021356067741321e-46
26.875 6.194266512578524e-46
26.9375 5.367176957415726e-46
27 4.540087402252928e-46
27.0625 7.692952601405422e-46
27.125 1.084581780055792e-45
27.1875 1.399868299971041e-45
27.25 1.71515481988629e-45
27.3125 1.574321820724689e-45
27.375 1.433488821563088e-45
27.4375 1.292655822401487e-45
27.5 1.151822823239885e-45
27.5625 1.094922932130808e-45
27.625 1.038023041021732e-45
27.6875 9.81123149912655e-46
27.75 9.242232588035782e-46
27.8125 1.084794008400481e-45
27.875 1.245364757997384e-45
27.9375 1.405935507594287e-45
28 1.56650625719119e-45
28.0625 1.937475736760805e-45
28.125 2.308445216330419e-45
28.1875 2.679414695900034e-45
28.25 3.050384175469649e-45
28.3125 2.376883948611709e-45
28.375 1.70338372175377e-45
28.4375 1.02988349489583e-45
28.5 3.563832680378901e-46
28.5625 4.976376336705517e-46
28.625 6.388919993032135e-46
28.6875 7.801463649358752e-46
28.75 9.214007305685369e-46
28.8125 1.724713900343759e-45
28.875 2.52802707011898e-45
28.9375 3.331340239894202e-45
29 4.134653409669424e-45
29.0625 3.688285230489438e-45
29.125 3.241917051309453e-45
29.1875 2.795548872129467e-45
29.25 2.349180692949482e-45
29.3125 1.930345629820114e-45
29.375 1.511510566690746e-45
29.4375 1.092675503561377e-45
29.5 6.738404404320094e-46
29.5625 8.033427816647169e-46
29.625 9.328451228974247e-46
29.6875 1.062347464130132e-45
29.75 1.19184980536284e-45
29.8125 1.133784489304014e-45
29.875 1.075719173245189e-45
29.9375 1.017653857186363e-45
30 9.595885411275376e-46
30.0625 1.707860648768669e-45
30.125 2.4561327564098e-45
30.1875 3.204404864050932e-45
30.25 3.952676971692063e-45
30.3125 3.485304066542986e-45
30.375 3.017931161393908e-45
30.4375 2.550558256244831e-45
30.5 2.083185351095754e-45
30.5625 2.595558452824065e-45
30.625 3.107931554552376e-45
30.6875 3.620304656280687e-45
30.75 4.132677758008998e-45
30.8125 4.136216241869349e-45
30.875 4.139754725729701e-45
30.9375 4.143293209590053e-45
31 4.146831693450405e-45
31.0625 4.259378542413088e-45
31.125 4.371925391375773e-45
31.1875 4.484472240338457e-45
31.25 4.597019089301141e-45
31.3125 3.716653734564895e-45
31.375 2.836288379828649e-45
31.4375 1.955923025092403e-45
31.5 1.075557670356158e-45
31.5625 1.15245694736236e-45
31.625 1.229356224368562e-45
31.6875 1.306255501374764e-45
31.75 1.383154778380966e-45
31.8125 1.3661405397456e-45
31.875 1.349126301110234e-45
31.9375 1.332112062474868e-45
32 1.315097823839502e-45
32.0625 1.240267779608332e-45
32.125 1.165437735377163e-45
32.1875 1.090607691145993e-45
32.25 1.015777646914824e-45
32.3125 1.8200944450874e-45
32.375 2.624411243259975e-45
32.4375 3.428728041432551e-45
32.5 4.233044839605126e-45
32.5625 3.721048252032419e-45
32.625 3.209051664459711e-45
32.6875 2.697055076887004e-45
32.75 2.185058489314296e-45
32.8125 2.087097398664922e-45
32.875 1.989136308015547e-45
32.9375 1.891175217366172e-45
33 1.793214126716797e-45
33.0625 2.425409277843591e-45
33.125 3.057604428970385e-45
33.1875 3.689799580097179e-45
33.25 4.321994731223973e-45
33.3125 3.542909617507013e-45
33.375 2.763824503790053e-45
33.4375 1.984739390073092e-45
33.5 1.205654276356131e-45
33.5625 1.016195559185464e-45
33.625 8.267368420147975e-46
33.6875 6.372781248441307e-46
33.75 4.47819407673464e-46
33.8125 3.893206104117104e-46
33.875 3.30821813149957e-46
33.9375 2.723230158882034e-46
34 2.138242186264499e-46
34.0625 3.784034015237246e-46
34.125 5.429825844209993e-46
34.1875 7.075617673182739e-46
34.25 8.721409502155487e-46
34.3125 9.653531427749181e-46
34.375 1.058565335334288e-45
34.4375 1.151777527893657e-45
34.5 1.244989720453027e-45
34.5625 1.744262931011134e-45
34.625 2.243536141569241e-45
34.6875 2.742809352127348e-45
34.75 3.242082562685455e-45
34.8125 3.954093946948832e-45
34.875 4.666105331212208e-45
34.9375 5.378116715475584e-45
35 6.09012809973896e-45
35.0625 4.865005279919507e-45
35.125 3.639882460100052e-45
35.1875 2.414759640280597e-45
35.25 1.189636820461142e-45
35.3125 1.207907887303662e-45
35.375 1.226178954146182e-45
35.4375 1.244450020988702e-45
35.5 1.262721087831222e-45
35.5625 1.410360231564298e-45
35.625 1.557999375297374e-45
35.6875 1.70563851903045e-45
35.75 1.853277662763526e-45
35.8125 2.286717898750623e-45
35.875 2.720158134737719e-45
35.9375 3.153598370724815e-45
36 3.587038606711912e-45
36.0625 4.422868005653652e-45
36.125 5.258697404595391e-45
36.1875 6.094526803537131e-45
36.25 6.930356202478871e-45
36.3125 5.617030882052337e-45
36.375 4.303705561625804e-45
36.4375 2.990380241199272e-45
36.5 1.677054920772738e-45
36.5625 1.34908838509118e-45
36.625 1.021121849409621e-45
36.6875 6.931553137280631e-46
36.75 3.651887780465046e-46
36.8125 3.372620075912754e-46
36.875 3.093352371360463e-46
36.9375 2.814084666808171e-46
37 2.534816962255879e-46
37.0625 4.689036781613549e-46
37.125 6.843256600971218e-46
37.1875 8.997476420328889e-46
37.25 1.115169623968656e-45
37.3125 9.188817834635744e-46
37.375 7.225939429584929e-46
37.4375 5.263061024534115e-46
37.5 3.300182619483301e-46
37.5625 8.002185764983864e-46
37.625 1.270418891048443e-45
37.6875 1.740619205598499e-45
37.75 2.210819520148556e-45
37.8125 2.245737991824537e-45
37.875 2.280656463500519e-45
37.9375 2.3155749351765e-45
38 2.350493406852482e-45
38.0625 2.418901594478326e-45
38.125 2.487309782104171e-45
38.1875 2.555717969730015e-45
38.25 2.624126157355859e-45
38.3125 2.196600837665341e-45
38.375 1.769075517974823e-45
38.4375 1.341550198284305e-45
38.5 9.140248785937869e-46
38.5625 1.023609411581082e-45
38.625 1.133193944568377e-45
38.6875 1.242778477555672e-45
38.75 1.352363010542967e-45
38.8125 1.07657571011276e-45
38.875 8.007884096825539e-46
38.9375 5.250011092523473e-46
39 2.492138088221407e-46
39.0625 2.22467216965322e-46
39.125 1.957206251085034e-46
39.1875 1.689740332516847e-46
39.25 1.422274413948661e-46
39.3125 3.158249858043216e-46
39.375 4.89422530213777e-46
39.4375 6.630200746232325e-46
39.5 8.366176190326881e-46
39.5625 7.308110797186026e-46
39.625 6.250045404045174e-46
39.6875 5.191980010904322e-46
39.75 4.133914617763469e-46
39.8125 8.886977816958445e-46
39.875 1.364004101615342e-45
39.9375 1.83931042153484e-45
40 2.314616741454337e-45
40.0625 2.46671975375773e-45
40.125 2.618822766061122e-45
40.1875 2.770925778364514e-45
40.25 2.923028790667906e-45
40.3125 2.762558700646147e-45
40.375 2.602088610624389e-45
40.4375 2.44161852060263e-45
40.5 2.281148430580871e-45
40.5625 2.318641923755684e-45
40.625 2.356135416930495e-45
40.6875 2.393628910105307e-45
40.75 2.431122403280119e-45
40.8125 2.439234439855876e-45
40.875 2.447346476431633e-45
40.9375 2.45545851300739e-45
41 2.463570549583148e-45
41.0625 2.166401783034593e-45
41.125 1.869233016486039e-45
41.1875 1.572064249937485e-45
41.25 1.27489548338893e-45
41.3125 1.606697248760686e-45
41.375 1.938499014132442e-45
41.4375 2.270300779504197e-45
41.5 2.602102544875953e-45
41.5625 2.761330771477706e-45
41.625 2.92055899807946e-45
41.6875 3.079787224681212e-45
41.75 3.239015451282966e-45
41.8125 3.2034058197457e-45
41.875 3.167796188208434e-45
41.9375 3.132186556671169e-45
42 3.096576925133902e-45
42.0625 2.760820276654863e-45
42.125 2.425063628175824e-45
42.1875 2.089306979696785e-45
42.25 1.753550331217745e-45
42.3125 1.71623757378927e-45
42.375 1.678924816360795e-45
42.4375 1.641612058932321e-45
42.5 1.604299301503846e-45
42.5625 1.346327068427527e-45
42.625 1.088354835351208e-45
42.6875 8.303826022748886e-46
42.75 5.724103691985695e-46
42.8125 5.100064368494843e-46
42.875 4.476025045003989e-46
42.9375 3.851985721513135e-46
43 3.227946398022282e-46
43.0625 3.121750275233238e-46
43.125 3.015554152444194e-46
43.1875 2.90935802965515e-46
43.25 2.803161906866105e-46
43.3125 3.097584361256999e-46
43.375 3.392006815647893e-46
43.4375 3.686429270038787e-46
43.5 3.980851724429681e-46
43.5625 4.678240366616706e-46
43.625 5.375629008803731e-46
43.6875 6.073017650990757e-46
43.75 6.770406293177782e-46
43.8125 6.25250712838461e-46
43.875 5.73460796359144e-46
43.9375 5.21670879879827e-46
44 4.698809634005099e-46
44.0625 4.127959090019672e-46
44.125 3.557108546034246e-46
44.1875 2.986258002048818e-46
44.25 2.415407458063392e-46
44.3125 2.561311940616756e-46
44.375 2.707216423170119e-46
44.4375 2.853120905723483e-46
44.5 2.999025388276847e-46
44.5625 4.10816150685873e-46
44.625 5.217297625440614e-46
44.6875 6.326433744022497e-46
44.75 7.435569862604381e-46
44.8125 7.914774195573661e-46
44.875 8.393978528542944e-46
44.9375 8.873182861512226e-46
45 9.352387194481507e-46
45.0625 1.055223997446664e-45
45.125 1.175209275445178e-45
45.1875 1.295194553443692e-45
45.25 1.415179831442205e-45
45.3125 1.418516040114289e-45
45.375 1.421852248786373e-45
45.4375 1.425188457458457e-45
45.5 1.428524666130541e-45
45.5625 1.351879745827465e-45
45.625 1.27523482552439e-45
45.6875 1.198589905221314e-45
45.75 1.121944984918239e-45
45.8125 1.002201864564328e-45
45.875 8.824587442104177e-46
45.9375 7.627156238565071e-46
46 6.429725035025967e-46
46.0625 7.449523602653981e-46
46.125 8.469322170281994e-46
46.1875 9.48912073791001e-46
46.25 1.050891930553802e-45
46.3125 1.057617365129048e-45
46.375 1.064342799704295e-45
46.4375 1.071068234279541e-45
46.5 1.077793668854787e-45
46.5625 8.83593236195799e-46
46.625 6.893928035368112e-46
46.6875 4.951923708778233e-46
46.75 3.009919382188356e-46
46.8125 3.067357385163102e-46
46.875 3.124795388137849e-46
46.9375 3.182233391112596e-46
47 3.239671394087343e-46
47.0625 3.566875148351706e-46
47.125 3.894078902616068e-46
47.1875 4.221282656880432e-46
47.25 4.548486411144795e-46
47.3125 4.460211091243714e-46
47.375 4.371935771342633e-46
47.4375 4.283660451441553e-46
47.5 4.195385131540473e-46
47.5625 4.057263124869861e-46
47.625 3.919141118199249e-46
47.6875 3.781019111528637e-46
47.75 3.642897104858025e-46
47.8125 4.965456874177352e-46
47.875 6.28801664349668e-46
47.9375 7.610576412816008e-46
48 8.933136182135334e-46
48.0625 7.002249917860266e-46
48.125 5.071363653585197e-46
48.1875 3.140477389310128e-46
48.25 1.209591125035059e-46
48.3125 1.898106851939256e-46
48.375 2.586622578843453e-46
48.4375 3.275138305747649e-46
48.5 3.963654032651846e-46
48.5625 4.470478321305569e-46
48.625 4.977302609959293e-46
48.6875 5.484126898613016e-46
48.75 5.990951187266739e-46
48.8125 8.506629123593159e-46
48.875 1.102230705991958e-45
48.9375 1.3537984996246e-45
49 1.605366293257242e-45
49.0625 1.758932799510121e-45
49.125 1.912499305763e-45
49.1875 2.066065812015879e-45
49.25 2.219632318268758e-45
49.3125 2.044137742960835e-45
49.375 1.868643167652914e-45
49.4375 1.693148592344991e-45
49.5 1.517654017037069e-45
49.5625 1.422199551991217e-45
49.625 1.326745086945364e-45
49.6875 1.231290621899512e-45
49.75 1.13583615685366e-45
49.8125 1.135617831433412e-45
49.875 1.135399506013164e-45
49.9375 1.135181180592916e-45
50 1.134962855172668e-45
50.0625 1.030339310257432e-45
50.125 9.257157653421949e-46
50.1875 8.210922204269581e-46
