# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-1.946999359995005285e-02 -1.329531375187670283e-02 -9.351922602167078713e-03 -5.653518091517484301e-03 -6.334577795468337991e-04
-1.689272008302739048e-02 -1.035407502626110865e-02 -6.522944673863273479e-03 -2.239679410642014812e-03 3.545555825913010439e-03
-1.369798674982142250e-02 -6.861293923160011188e-03 -2.780335006645137663e-03 1.817012602445988723e-03 8.212885699381000659e-03
-1.070181214407786574e-02 -4.336420672702900880e-03 2.249958816352704005e-05 4.687854982168976337e-03 1.115346535905531455e-02
-9.241600310222364278e-03 -3.147023121853775862e-03 1.109454459901793033e-03 5.590177541133556360e-03 1.142055677756842469e-02
-8.294306770874476653e-03 -2.716620106589351380e-03 1.293556225401115700e-03 5.327826708394350907e-03 1.107162942637268666e-02
-6.772110029387351515e-03 -1.859270378193042528e-03 1.730291769549113789e-03 5.851013292709372760e-03 1.121997263055032890e-02
-4.386659924261016030e-03 1.939415972702085433e-04 3.495192274063016469e-03 7.669215202099344264e-03 1.357998351582223595e-02
-2.257671517224557611e-03 2.845822335492076416e-03 6.382831781627795742e-03 1.021717403264676971e-02 1.653880578430566572e-02
-1.628440481205251089e-03 4.224270477416136593e-03 8.424979520678221867e-03 1.235907440086903009e-02 1.839028818549659494e-02
-3.122189706879607840e-03 3.483863629955563646e-03 8.454296105096625880e-03 1.234052620319348037e-02 1.870686713307145865e-02
-5.923491656093737845e-03 9.251193467987306462e-04 5.978891116248608029e-03 1.010809061963802158e-02 1.658478208573543888e-02
-9.303186558681897367e-03 -2.581757888895364061e-03 2.682780086775693462e-03 6.946835522831706911e-03 1.316516811145473920e-02
-1.099897746753475403e-02 -4.647835840386527195e-03 9.412918453355345605e-06 4.146263978435094089e-03 1.035539858183232020e-02
-1.103442471226623312e-02 -4.831173894412676972e-03 -7.235931449200982968e-04 3.163378569358998860e-03 9.313811839889662991e-03
-1.018687071118429266e-02 -4.122086842385019878e-03 3.386953799577874236e-05 3.631439987818119164e-03 8.988851605535419509e-03
-1.019913739440547751e-02 -3.553861551914838657e-03 5.385215115503161343e-04 4.139202720768841992e-03 8.540841621381689563e-03
-1.053357468140470043e-02 -4.095331408071167800e-03 -2.873123120417098164e-05 3.496482181672977418e-03 8.675923744556612860e-03
-1.136557892994738417e-02 -5.469765383122382474e-03 -9.897814654822312264e-04 2.817031366849187535e-03 8.445684610518089386e-03
-1.136219257189186038e-02 -5.549563298558823909e-03 -1.390632421976789601e-03 3.163682440475046320e-03 8.652227020436109584e-03
