domain units: Hz
measurement data type: Positive<double>
segment length (sec): 8
sampling rate (Hz): 2048
domain bounds (Hz): [0, 1024.125)
support bounds (Hz): [22, 1024)support indexes: [176, 8192)
---------------
domainValue measuredValue
0 1
0.125 1
0.25 1
0.375 1
0.5 1
0.625 1
0.75 1
0.875 1
1 1
1.125 1
1.25 1
1.375 1
1.5 1
1.625 1
1.75 1
1.875 1
2 1
2.125 1
2.25 1
2.375 1
2.5 1
2.625 1
2.75 1
2.875 1
3 1
3.125 1
3.25 1
3.375 1
3.5 1
3.625 1
3.75 1
3.875 1
4 1
4.125 1
4.25 1
4.375 1
4.5 1
4.625 1
4.75 1
4.875 1
5 1
5.125 1
5.25 1
5.375 1
5.5 1
5.625 1
5.75 1
5.875 1
6 1
6.125 1
6.25 1
6.375 1
6.5 1
6.625 1
6.75 1
6.875 1
7 1
7.125 1
7.25 1
7.375 1
7.5 1
7.625 1
7.75 1
7.875 1
8 1
8.125 1
8.25 1
8.375 1
8.5 1
8.625 1
8.75 1
8.875 1
9 1
9.125 1
9.25 1
9.375 1
9.5 1
9.625 1
9.75 1
9.875 1
10 1
10.125 1
10.25 1
10.375 1
10.5 1
10.625 1
10.75 1
10.875 1
11 1
11.125 1
11.25 1
11.375 1
11.5 1
11.625 1
11.75 1
11.875 1
12 1
12.125 1
12.25 1
12.375 1
12.5 1
12.625 1
12.75 1
12.875 1
13 1
13.125 1
13.25 1
13.375 1
13.5 1
13.625 1
13.75 1
13.875 1
14 1
14.125 1
14.25 1
14.375 1
14.5 1
14.625 1
14.75 1
14.875 1
15 1
15.125 1
15.25 1
15.375 1
15.5 1
15.625 1
15.75 1
15.875 1
16 1
16.125 1
16.25 1
16.375 1
16.5 1
16.625 1
16.75 1
16.875 1
17 1
17.125 1
17.25 1
17.375 1
17.5 1
17.625 1
17.75 1
17.875 1
18 1
18.125 1
18.25 1
18.375 1
18.5 1
18.625 1
18.75 1
18.875 1
19 1
19.125 1
19.25 1
19.375 1
19.5 1
19.625 1
19.75 1
19.875 1
20 1
20.125 1
20.25 1
20.375 1
20.5 1
20.625 1
20.75 1
20.875 1
21 1
21.125 1
21.25 1
21.375 1
21.5 1
21.625 1
21.75 1
21.875 1
22 4.415460937500001e-44
22.125 4.1852578125e-44
22.25 3.966492187500001e-44
22.375 3.762632812500001e-44
22.5 3.566578125e-44
22.625 3.38278125e-44
22.75 3.2073984375e-44
22.875 3.043289062500001e-44
23 2.88759375e-44
23.125 2.7408515625e-44
23.25 2.601328125000001e-44
23.375 2.47078125e-44
23.5 2.346820312500001e-44
23.625 2.2295671875e-44
23.75 2.1198984375e-44
23.875 2.016076875e-44
24 1.9180903125e-44
24.125 1.8252628125e-44
24.25 1.7370046875e-44
24.375 1.652971875e-44
24.5 1.5716296875e-44
24.625 1.4938453125e-44
24.75 1.4213746875e-44
24.875 1.353110625e-44
25 1.2884296875e-44
25.125 1.2267721875e-44
25.25 1.1686940625e-44
25.375 1.1135578125e-44
25.5 1.0614534375e-44
25.625 1.0116421875e-44
25.75 9.646265625000001e-45
25.875 9.196664062500001e-45
26 8.773265625000001e-45
26.125 8.369156250000001e-45
26.25 7.985718750000001e-45
26.375 7.623328125e-45
26.5 7.280296875000001e-45
26.625 6.955171875000001e-45
26.75 6.647507812500001e-45
26.875 6.355476562500001e-45
27 6.078984375000001e-45
27.125 5.817515625000002e-45
27.25 5.56715625e-45
27.375 5.330085937500001e-45
27.5 5.106257812500001e-45
27.625 4.893609375e-45
27.75 4.6927265625e-45
