# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
1.146480737261618282e-01 2.022123122082359892e-01 2.676467471804707676e-01 3.354035477751143857e-01 4.236619903501285811e-01
2.658294046768217567e-01 3.561541228115473467e-01 4.266254981461360396e-01 4.997091242200463190e-01 6.112255560303723190e-01
1.922580586104944214e-02 1.457981176826827485e-01 2.221207124117983711e-01 2.878405955652214576e-01 3.837515589960402984e-01
-2.106375915155287437e-01 -1.197442869472470084e-01 -4.865531919654443593e-02 2.268389050288589434e-02 1.229624008776649263e-01
-1.705659212140620273e-01 -6.399193965290222996e-02 1.003417207710810034e-02 8.742131962113194876e-02 1.953776432912145145e-01
3.883077886874833524e-03 1.113471299087770289e-01 1.922270147655993078e-01 2.831296413155068303e-01 4.153696962975352847e-01
-6.114057162810287299e-02 3.493327017717555438e-02 1.140007529817071430e-01 1.972325626107512830e-01 3.229577986415087532e-01
-3.574343672029988150e-01 -2.505680139644871351e-01 -1.818922512514900558e-01 -1.172917805126192509e-01 -3.430953510583235194e-02
-5.297921546483376209e-01 -4.000534392938630557e-01 -3.117274152056499492e-01 -2.357378944110665731e-01 -1.448860952782002609e-01
-2.874420452024049610e-01 -1.770277856752075774e-01 -9.772197523882371339e-02 -2.466488246597768261e-02 7.688573191222593251e-02
1.394265449765560994e-01 2.279751314898624537e-01 2.927836408033823723e-01 3.571304852867916435e-01 4.449867080254205076e-01
4.775664907788064739e-01 5.616264317828599806e-01 6.240983986270353112e-01 6.903690064606757826e-01 7.885716867193371948e-01
6.102704461565616745e-01 6.976475595214548520e-01 7.651426687846457630e-01 8.363003318793109653e-01 9.263742093518337883e-01
4.562002568343831999e-01 5.485698802099355786e-01 6.170617570914989081e-01 6.808254462926388584e-01 7.712376659701712933e-01
6.856342063921565255e-02 1.662479543652636282e-01 2.320297732508653232e-01 2.982571514146674097e-01 3.849548164855714494e-01
-2.199169906647415185e-01 -1.258449840459283375e-01 -5.678485621851149523e-02 1.264720802029457164e-02 1.096083909614878477e-01
-1.654043187507105717e-01 -6.675822005572235041e-02 7.985242588155961252e-04 7.471946199100781838e-02 1.827129692525623905e-01
1.590558096670030910e-02 1.191149194529953770e-01 1.859488168563013244e-01 2.538682963032738438e-01 3.603058935212740677e-01
-4.384426453678313268e-02 3.414914188424321428e-02 8.926488947828450926e-02 1.439057605798458594e-01 2.301757647153476471e-01
-3.663059555814301427e-01 -2.818935954962734081e-01 -2.172702834779060566e-01 -1.553916439212418565e-01 -6.383163866727738223e-02
-4.655567424107793228e-01 -3.642637249357438267e-01 -2.903362822493460449e-01 -2.101609417467662222e-01 -8.652795114303249435e-02
-2.040379478988942064e-01 -8.997380086817095834e-02 -1.739703880466101499e-02 5.740237619819145432e-02 1.732319002302338817e-01
7.022349906540425622e-04 1.186400167320989241e-01 1.937971723458608020e-01 2.641567315544922079e-01 3.671658588323801209e-01
-1.811500962973141074e-02 7.697662362221485699e-02 1.428761357749619154e-01 2.164762717457151264e-01 3.194748488855586044e-01
1.432796651676745102e-02 9.538302032653912799e-02 1.568085374016272848e-01 2.281562403397235650e-01 3.424946783685781093e-01
2.661855191460481551e-01 3.465803023282288953e-01 4.114809478844846380e-01 4.766717266351972460e-01 5.634904471546864357e-01
3.693539858709654622e-01 4.639907429378057890e-01 5.294022453744422485e-01 5.931599531074570608e-01 7.008464201230782953e-01
6.220545195013580525e-02 1.537954999702328684e-01 2.239047546111500309e-01 2.999003944468437988e-01 4.050282807921813943e-01
-3.706028802232653185e-01 -2.632138817622974858e-01 -1.878881627908951524e-01 -1.199966642839539188e-01 -2.653854395020229309e-02
-4.947535499450463337e-01 -3.939989028033490936e-01 -3.217588766792769395e-01 -2.471122680117751602e-01 -1.474148501791684718e-01
-4.172079302149966362e-01 -3.172233762756192510e-01 -2.493098097982604233e-01 -1.830938239452210015e-01 -8.923282908427104809e-02
-4.263003158912245794e-01 -3.283605776597426917e-01 -2.571527374575142133e-01 -1.931220983056401996e-01 -9.655712442461064637e-02
-4.414588205352648065e-01 -3.312246462002513825e-01 -2.641506339381391455e-01 -1.950361633863512967e-01 -1.016651271673969653e-01
-2.669528170817828117e-01 -1.589049269764452044e-01 -9.188635161630004378e-02 -2.874635934165560569e-02 5.683720567853050437e-02
-1.114261329291944963e-01 -2.231690528148587774e-02 4.661964338710018751e-02 1.194768512328223259e-01 2.104272852701189189e-01
-2.031678181701536412e-01 -1.145619190799467696e-01 -5.213802952127270102e-02 1.057385918480942960e-02 1.077968336797356791e-01
-2.785768559102119735e-01 -1.939382563970768469e-01 -1.293099110685421160e-01 -5.645089199988801570e-02 4.815508415260587316e-02
-3.915475535198068013e-03 7.319846014460616723e-02 1.371068473302805568e-01 2.126873821660814345e-01 3.088468143598180893e-01
2.889413844491350303e-01 3.781403092051542902e-01 4.370698026647782952e-01 5.003469862168034021e-01 5.918358465485705766e-01
1.116634234307445767e-01 1.967034154518259581e-01 2.576719347601277299e-01 3.198324747869983886e-01 4.130564817277659340e-01
-3.427539395519259569e-01 -2.595141076574071226e-01 -1.985975555058680508e-01 -1.375182605733112351e-01 -5.702635126721967984e-02
-4.637932530142183651e-01 -3.754980918031954884e-01 -3.134225342589181951e-01 -2.499615049164186642e-01 -1.608473874619455457e-01
-2.196125885266023980e-01 -1.194048081712809073e-01 -4.300751579654949613e-02 2.752814493740412746e-02 1.237666770827533236e-01
-1.071342938360786146e-01 -6.601965547938140610e-03 6.179417576642925319e-02 1.319660814702137974e-01 2.458907849048130589e-01
-3.216330521445929236e-01 -1.992020888721112160e-01 -1.301388759487233648e-01 -6.350965630623477132e-02 3.256010048891769953e-02
-3.985327960076868181e-01 -3.036331758586444107e-01 -2.322286975293005873e-01 -1.682342286005704957e-01 -8.248660591432130373e-02
-2.806685610711022183e-01 -1.687900054818929074e-01 -1.036111385365366955e-01 -4.489237481791945317e-02 3.940572467099408976e-02
-3.062583413109359887e-01 -1.945273124633964956e-01 -1.171885478535870523e-01 -2.714496833728163860e-02 8.307534331522162252e-02
-5.164532703051667450e-01 -4.218766225563639338e-01 -3.516636714746902981e-01 -2.779281403797673189e-01 -1.747251383501029764e-01
-6.093387681246438259e-01 -5.111094706572850699e-01 -4.425923140495143238e-01 -3.729298911244803838e-01 -2.663945948218736648e-01
-4.120828715234870487e-01 -3.026833736333541802e-01 -2.218807910210194023e-01 -1.466157067363803856e-01 -5.308383163204639932e-02
-1.623123103840102832e-01 -7.043598198974773683e-02 -6.138009279590732337e-03 5.947201572799619418e-02 1.551119072771879603e-01
-1.011086478707988734e-01 1.814174254899070943e-02 9.177913994418035459e-02 1.607222650965546562e-01 2.518566247483439713e-01
8.643043130950328612e-02 1.675565777014910995e-01 2.332806043492558767e-01 3.009273903354622304e-01 3.990898113899534749e-01
1.391878574810116453e-01 2.485862047320692991e-01 3.272152758626669100e-01 3.972198394509661168e-01 5.061290346927489470e-01
-2.451494894397598656e-01 -1.556767517968244419e-01 -9.063781594055905777e-02 -2.261403996375053668e-02 7.651555551852841364e-02
-1.020884884554217775e+00 -9.049162116972532255e-01 -8.301857954865413669e-01 -7.536673256404352594e-01 -6.424260073126635273e-01
-1.226470621684395246e+00 -1.118392898583372430e+00 -1.040223376670180722e+00 -9.583465141745757254e-01 -8.287537244553647708e-01
-5.383986626422231359e-01 -4.503141545891720110e-01 -3.910053817506042306e-01 -3.312839462910542321e-01 -2.512850443839222958e-01
1.638914417176778882e-01 2.487342407971617209e-01 3.069560190582241166e-01 3.672552817807376857e-01 4.471437020798879614e-01
1.903155567084474364e-01 2.721548920031325869e-01 3.344492677875252618e-01 3.956145658755044758e-01 4.811408524328961711e-01
-1.260487101354596795e-01 -3.316789410347556477e-02 3.240976664220311665e-02 9.378981198648929374e-02 1.825810762205663240e-01
-1.317415403913483052e-01 -3.556149572384282448e-02 2.939234600730676952e-02 9.118084804583402592e-02 1.754211453287131128e-01
3.689503892709376093e-02 1.368901169015322161e-01 2.054290511287690246e-01 2.608533423876979174e-01 3.408776084154615527e-01
-5.775965989585338245e-02 3.881014066102715654e-02 1.009098640642768496e-01 1.613957757223493106e-01 2.524506965224535548e-01
-2.812599974302877337e-01 -1.898023055909420220e-01 -1.308487314515633659e-01 -7.021656390514556534e-02 2.114522367958772409e-02
-2.623119310745324895e-01 -1.735125584984467118e-01 -1.057818800467055786e-01 -3.974218363825909872e-02 6.335345334574944698e-02
-1.399508086222575054e-01 -3.409938902514669107e-02 4.146547730600541604e-02 1.258970775015351706e-01 2.410203963372465619e-01
-1.817933482260043754e-01 -8.494032306758933504e-02 -1.707049297693071302e-02 5.451011259699511252e-02 1.475537076623129051e-01
-3.044011208544240565e-01 -2.003639774654401573e-01 -1.216170121404273746e-01 -4.789858159192737080e-02 5.548820060660272085e-02
-1.376169654289862432e-01 -4.059304548687939912e-02 2.782657494691857455e-02 9.726726018396615603e-02 1.943444700431779804e-01
5.146508486965547038e-03 9.790031988178031497e-02 1.590205248638674185e-01 2.233161867061887462e-01 3.068883301625545124e-01
-3.117715379089042727e-01 -2.304775472089394539e-01 -1.598887849792203497e-01 -9.158796357097934160e-02 -5.678462561822017300e-03
-7.887763447979438958e-01 -6.820391791460004294e-01 -6.092874731870382421e-01 -5.429200044378230672e-01 -4.496789808802245103e-01
-7.147416712299594632e-01 -5.949136230319198582e-01 -5.218044876226501927e-01 -4.509488942385008192e-01 -3.589240797420210627e-01
-1.456460412978639041e-01 -3.035422456659782331e-02 5.504406271190327021e-02 1.343924618944770943e-01 2.264466837046860137e-01
2.541274439030708487e-01 3.595421028819650866e-01 4.442997991208064712e-01 5.246532900051378290e-01 6.435296987324055085e-01
2.604696371259245802e-01 3.775167467787652331e-01 4.612455039149979119e-01 5.401590690726414401e-01 6.443932192023699157e-01
3.208094674617453790e-01 4.185862571608059968e-01 4.994473517860594236e-01 5.797939708066146558e-01 6.961598434594945539e-01
5.265933185430812236e-01 6.156958990652552366e-01 6.880714801874929787e-01 7.549084642563095304e-01 8.597369596756667676e-01
4.436514843982474754e-01 5.377394254667838824e-01 6.038423361500734332e-01 6.700140540919998777e-01 7.638321359915027919e-01
-2.531783325164885592e-02 5.951640222683363818e-02 1.226394353370061363e-01 1.879320948730524854e-01 2.762180472300276302e-01
-4.364225224101753176e-01 -3.541012669532857537e-01 -2.902583502475397093e-01 -2.250438001346287686e-01 -1.264525489535860969e-01
-4.652357913975064818e-01 -3.762027300824652420e-01 -3.098787383978817700e-01 -2.415274955774839583e-01 -1.377940644894151134e-01
-3.315225890492835559e-01 -2.309742040648216643e-01 -1.626205032893138780e-01 -1.005423849841175221e-01 -8.885562526679340392e-03
-2.850863766948890099e-01 -1.847008852531764611e-01 -1.125421078355098581e-01 -4.491751551164097078e-02 4.807486648521012984e-02
-2.231911077245269659e-01 -1.219675797884800655e-01 -4.646188729971225534e-02 2.943429079166794138e-02 1.333467269954220491e-01
-5.154909853099996081e-02 4.512254976768412945e-02 1.144785516296448757e-01 1.901013930703318866e-01 2.909927802031311850e-01
2.320276969557582419e-02 1.163605607510254103e-01 1.791047680716932600e-01 2.410775200476495128e-01 3.247873374449296024e-01
-1.164502362014393916e-01 -2.755663853724776152e-02 3.616785575772636652e-02 1.024497307973594451e-01 1.979282949976529649e-01
-2.370802793347499549e-01 -1.461047145454328067e-01 -7.199346984466661881e-02 -4.169585123184067071e-03 8.006432328962270750e-02
-2.000411214293837947e-01 -8.864401889682115010e-02 -1.814200923134829876e-02 4.727838436098776714e-02 1.319024505027101279e-01
-1.462050527238367703e-01 -5.057221063195176114e-02 9.745837515803558102e-03 7.046406202930413643e-02 1.640561022948698877e-01
-2.654584644289981199e-01 -1.819400768832379889e-01 -1.134886786097435984e-01 -3.586219528573112575e-02 9.007273087807618484e-02
-3.494297087460807583e-01 -2.565916510177743137e-01 -1.897587269308793623e-01 -1.142241787345891491e-01 -3.753199989056576688e-03
-2.409694939076731102e-01 -1.516684940836476592e-01 -8.402855954218098333e-02 -1.490243545656531540e-02 8.138115522943176194e-02
-1.136479804739598254e-01 -2.805514762160534956e-02 3.296419551861148184e-02 9.954092424542179685e-02 2.039553310574360179e-01
-1.607958860549645597e-01 -7.015317315106470164e-02 -5.834828001013962588e-03 6.372145593176679890e-02 1.831544162266829923e-01
-2.591026262811607084e-01 -1.673935230959172071e-01 -9.790601748434658858e-02 -2.369866687762176016e-02 7.315747875794895161e-02
-2.545341404690678599e-01 -1.558348566801650292e-01 -7.030552631653690099e-02 5.605058772890187183e-03 1.017049222435699174e-01
-1.166944273076579719e-01 -2.551179028866499068e-02 3.750855470144720538e-02 1.023472455130594733e-01 1.978928254989313629e-01
-1.028835324348753751e-02 7.474567926696314146e-02 1.320386991833242818e-01 1.932763561152710807e-01 2.767302218831012572e-01
5.665241690645585540e-03 1.001580981750163080e-01 1.708954381011784929e-01 2.355307274816443863e-01 3.261667261390180927e-01
-5.421232662266402269e-02 5.099100809148206237e-02 1.223676685564731026e-01 1.898523029296364240e-01 2.873187746063221026e-01
-1.964907490363442255e-01 -1.007557620722044495e-01 -3.502525436357143557e-02 2.925556847294711466e-02 1.194848989150057578e-01
-3.236542550396433460e-01 -2.316448711763046120e-01 -1.716282782443963317e-01 -1.098643554571132747e-01 -2.117251774205705303e-02
-2.415656392837499666e-01 -1.472848533310690822e-01 -8.388802677011000797e-02 -9.426484019953216761e-03 9.986161110400625096e-02
2.451973214729736769e-02 1.282534656762805425e-01 1.993991896812680187e-01 2.683374926444428987e-01 3.807543170063901750e-01
1.784222660112692316e-01 2.730547315621711379e-01 3.395616362721454173e-01 4.104122001646832718e-01 5.306069835206362884e-01
2.750609291988598271e-02 1.150170313827655055e-01 1.828878489165091659e-01 2.528393767627257205e-01 3.488732040621090880e-01
-2.875834560990177535e-01 -1.708443084795262523e-01 -9.361291746685214410e-02 -2.614758040690953050e-02 6.333253352336172537e-02
-4.605727409281091811e-01 -3.536197427557022932e-01 -2.765609316981715859e-01 -2.031464294480823385e-01 -1.085367985102662913e-01
-5.051114646055706592e-01 -4.053833975912054521e-01 -3.427200030701798017e-01 -2.829550502940567092e-01 -1.931790567120351687e-01
-5.360273114947652351e-01 -4.441331203973151176e-01 -3.781946850188468434e-01 -3.128773318874186193e-01 -2.195254153720101742e-01
-5.371671802426305486e-01 -4.371455606266825833e-01 -3.728731560150242430e-01 -3.064070069396158669e-01 -2.064616569813149949e-01
-4.826261033380307430e-01 -3.821825540796586762e-01 -3.141501607461952283e-01 -2.444187332402147084e-01 -1.505563722118226921e-01
-4.291713588397927936e-01 -3.239927447030898078e-01 -2.480493204500979487e-01 -1.718690399809279234e-01 -6.156087066494426302e-02
-2.866573847125356567e-01 -2.033331307851904135e-01 -1.392546477346786882e-01 -5.887003179104440681e-02 6.470726143763382010e-02
-8.653843867292430186e-03 1.003030395485539905e-01 1.693938760978337121e-01 2.344358762439834876e-01 3.234939937726077908e-01
3.679327163256891353e-01 4.706430843411388842e-01 5.424597905646174612e-01 6.135552023035254487e-01 7.124844384351214366e-01
4.328932051123146052e-01 5.557666005036198120e-01 6.341254749638368660e-01 7.130782102062448446e-01 8.232707203086686576e-01
5.349574010856387313e-02 1.483300368938433034e-01 2.286128569042496783e-01 3.038807935862586906e-01 3.990651406605902896e-01
-5.512782924055602551e-01 -4.521226044445792458e-01 -3.914305267312197523e-01 -3.285925443954765823e-01 -2.350160572949782367e-01
-8.675167500577947166e-01 -7.666870063525466072e-01 -7.044554325411110929e-01 -6.463440586961268775e-01 -5.568526956312537246e-01
