# Frequency (Hz), ASD (strain/sqrt(Hz))
0.000000000000000000e+00,2.385379791213870436e-25
2.500000000000000000e-01,2.577052740149289015e-24
5.000000000000000000e-01,1.011826947806440131e-24
7.500000000000000000e-01,6.523455896152773460e-25
1.000000000000000000e+00,1.799513847178270641e-24
1.250000000000000000e+00,3.383161334671736557e-24
1.500000000000000000e+00,2.369915378372331738e-24
1.750000000000000000e+00,1.106487927071039316e-24
2.000000000000000000e+00,2.075252911683536658e-24
2.250000000000000000e+00,4.003513991660985677e-24
2.500000000000000000e+00,2.622873494375845175e-24
2.750000000000000000e+00,3.614340478771698481e-24
3.000000000000000000e+00,2.021222984812665138e-24
3.250000000000000000e+00,2.629684779343177204e-24
3.500000000000000000e+00,3.940406021116625489e-24
3.750000000000000000e+00,3.169923405333143196e-24
4.000000000000000000e+00,3.500269582107425042e-24
4.250000000000000000e+00,1.387016876715748426e-24
4.500000000000000000e+00,1.841645356545911433e-24
4.750000000000000000e+00,2.779754181348435509e-24
5.000000000000000000e+00,4.763459506611835188e-24
5.250000000000000000e+00,2.319943057706889314e-24
5.500000000000000000e+00,3.814555619515889809e-24
5.750000000000000000e+00,2.451336730020407430e-24
6.000000000000000000e+00,3.366052515269086170e-24
6.250000000000000000e+00,3.393024571679367201e-24
6.500000000000000000e+00,2.744303171997732255e-24
6.750000000000000000e+00,2.865545832024941015e-24
7.000000000000000000e+00,1.727070998199497542e-24
7.250000000000000000e+00,3.141578830294096019e-24
7.500000000000000000e+00,1.993985692777510854e-24
7.750000000000000000e+00,1.213626571502488569e-24
8.000000000000000000e+00,1.482915965825138692e-24
8.250000000000000000e+00,1.008574110088491726e-24
8.500000000000000000e+00,1.991784152301582205e-24
8.750000000000000000e+00,1.885915425940705212e-24
9.000000000000000000e+00,1.938520722976902156e-24
9.250000000000000000e+00,1.586050344828369265e-24
9.500000000000000000e+00,2.260854214963854513e-24
9.750000000000000000e+00,2.985211064202080734e-24
1.000000000000000000e+01,4.561246409862394221e-24
1.025000000000000000e+01,4.123302876027648858e-24
1.050000000000000000e+01,8.659776952962180368e-25
1.075000000000000000e+01,3.168449862862959160e-24
1.100000000000000000e+01,2.738290263318581494e-24
1.125000000000000000e+01,4.275176476184343461e-24
1.150000000000000000e+01,1.843393332303399251e-24
1.175000000000000000e+01,3.395130672241974406e-24
1.200000000000000000e+01,1.656298331689789677e-24
1.225000000000000000e+01,2.292777884747350257e-24
1.250000000000000000e+01,4.009946885687111763e-24
1.275000000000000000e+01,4.228375431014580337e-24
1.300000000000000000e+01,3.285351422966670152e-24
1.325000000000000000e+01,4.570092817983492692e-24
1.350000000000000000e+01,4.135777719512033785e-24
1.375000000000000000e+01,9.133655390526142674e-25
1.400000000000000000e+01,9.056780639359017590e-25
1.425000000000000000e+01,1.739072052277325932e-24
1.450000000000000000e+01,2.343739903553305270e-24
1.475000000000000000e+01,3.050958796493436847e-24
1.500000000000000000e+01,1.284185347592278538e-24
1.525000000000000000e+01,2.264168020502118694e-24
1.550000000000000000e+01,3.115646805210642750e-24
1.575000000000000000e+01,3.160324718699784636e-24
1.600000000000000000e+01,6.098189413072047971e-24
1.625000000000000000e+01,6.812041759577956587e-24
1.650000000000000000e+01,4.578411591424259739e-24
1.675000000000000000e+01,6.360621095245745505e-24
1.700000000000000000e+01,7.526338305217580877e-24
1.725000000000000000e+01,8.916591096723129332e-24
1.750000000000000000e+01,1.194968886262533775e-23
1.775000000000000000e+01,9.285171329238628789e-24
1.800000000000000000e+01,5.120346478210938888e-24
1.825000000000000000e+01,7.892390364253126314e-24
1.850000000000000000e+01,8.242403191394769101e-24
1.875000000000000000e+01,5.073094195783586906e-24
1.900000000000000000e+01,6.020704302945475230e-24
1.925000000000000000e+01,9.863808441254016995e-24
1.950000000000000000e+01,6.810787849714298750e-24
1.975000000000000000e+01,5.961554270362077388e-24
2.000000000000000000e+01,4.466831929555330429e-24
2.025000000000000000e+01,4.309580234764201829e-24
2.050000000000000000e+01,3.259451424506714487e-24
2.075000000000000000e+01,1.229019044228305647e-23
2.100000000000000000e+01,1.179810176291534099e-23
2.125000000000000000e+01,7.324040394727014719e-24
2.150000000000000000e+01,3.329630738388795862e-24
2.175000000000000000e+01,8.360872599218063316e-24
2.200000000000000000e+01,3.674970389719769275e-24
2.225000000000000000e+01,5.154468443594328810e-24
2.250000000000000000e+01,3.619428146004641641e-24
2.275000000000000000e+01,5.621357145291163833e-24
2.300000000000000000e+01,8.074837105266321451e-24
2.325000000000000000e+01,9.189265696440318242e-24
2.350000000000000000e+01,1.137928909844420202e-23
2.375000000000000000e+01,5.815323623939140729e-24
2.400000000000000000e+01,1.019070492442472721e-23
2.425000000000000000e+01,8.698826741094144347e-24
2.450000000000000000e+01,4.124501192633697066e-24
2.475000000000000000e+01,3.066360840514989349e-24
2.500000000000000000e+01,9.514420070053523138e-24
2.525000000000000000e+01,9.807373070635628864e-24
2.550000000000000000e+01,1.082367420762922257e-23
2.575000000000000000e+01,7.620773422872965252e-24
2.600000000000000000e+01,1.183114219560325111e-23
2.625000000000000000e+01,1.470410874630025843e-23
2.650000000000000000e+01,1.792203519512551657e-23
2.675000000000000000e+01,1.039655920797937774e-23
2.700000000000000000e+01,7.366437759094615055e-24
2.725000000000000000e+01,4.418701535264034363e-24
2.750000000000000000e+01,6.454230034592505329e-24
2.775000000000000000e+01,6.267922298853623285e-24
2.800000000000000000e+01,5.402708762333238843e-24
2.825000000000000000e+01,3.982665226259620242e-24
2.850000000000000000e+01,3.560790166446684532e-24
2.875000000000000000e+01,8.589022647697965578e-24
2.900000000000000000e+01,1.287637352737298279e-23
2.925000000000000000e+01,1.286801581853769432e-23
2.950000000000000000e+01,5.554456551670127737e-24
2.975000000000000000e+01,7.407972879768244702e-24
3.000000000000000000e+01,4.885882346675255041e-24
3.025000000000000000e+01,2.915021807929758900e-24
3.050000000000000000e+01,9.096634775269233750e-24
3.075000000000000000e+01,1.128237000650622313e-23
3.100000000000000000e+01,8.884318686355456633e-24
3.125000000000000000e+01,1.050729099864446127e-23
3.150000000000000000e+01,1.050733113237203750e-23
3.175000000000000000e+01,1.514052607131113337e-23
3.200000000000000000e+01,2.006095586581944164e-23
3.225000000000000000e+01,2.312607688163878962e-23
3.250000000000000000e+01,2.106294238868294809e-23
3.275000000000000000e+01,1.011244523274627674e-23
3.300000000000000000e+01,6.384979378855809271e-24
3.325000000000000000e+01,6.859604169842277915e-24
3.350000000000000000e+01,7.378127304778111178e-24
3.375000000000000000e+01,1.538560203523569100e-23
3.400000000000000000e+01,7.487706669652639081e-24
3.425000000000000000e+01,3.558354713736975655e-24
3.450000000000000000e+01,5.083698302709633935e-24
3.475000000000000000e+01,6.393630911294750644e-24
3.500000000000000000e+01,1.037996493558696498e-23
3.525000000000000000e+01,2.419682915652893496e-23
3.550000000000000000e+01,1.418809281611668235e-23
3.575000000000000000e+01,1.206421827951639244e-23
3.600000000000000000e+01,1.611283324305456990e-23
3.625000000000000000e+01,1.527209278936173946e-23
3.650000000000000000e+01,1.335434488723139165e-23
3.675000000000000000e+01,1.792342715971763148e-23
3.700000000000000000e+01,2.361964746992716088e-23
3.725000000000000000e+01,2.214658545024427044e-23
3.750000000000000000e+01,2.276148797669818199e-23
3.775000000000000000e+01,6.920577653691357751e-24
3.800000000000000000e+01,1.308748168498894746e-23
3.825000000000000000e+01,1.979397517221540043e-23
3.850000000000000000e+01,1.394804827689947016e-23
3.875000000000000000e+01,9.994482433140348815e-24
3.900000000000000000e+01,7.119807238188245294e-24
3.925000000000000000e+01,1.802062696681937815e-23
3.950000000000000000e+01,1.917248150668592195e-23
3.975000000000000000e+01,1.339414477582354617e-23
4.000000000000000000e+01,7.793810752126664423e-24
4.025000000000000000e+01,1.588626572854837811e-23
4.050000000000000000e+01,1.524531673662380856e-23
4.075000000000000000e+01,3.736474231310894208e-23
4.100000000000000000e+01,3.034915565070448355e-23
4.125000000000000000e+01,1.559299502146136813e-23
4.150000000000000000e+01,8.020554501130394637e-24
4.175000000000000000e+01,1.606704353104847525e-23
4.200000000000000000e+01,2.575591127049344191e-24
4.225000000000000000e+01,5.774150835858293936e-24
4.250000000000000000e+01,7.780596455996849848e-24
4.275000000000000000e+01,3.867768718701986071e-24
4.300000000000000000e+01,8.537198117259024770e-24
4.325000000000000000e+01,1.476827791624244739e-23
4.350000000000000000e+01,1.929200289269047371e-23
4.375000000000000000e+01,1.999247929223881334e-23
4.400000000000000000e+01,1.354495336503537318e-23
4.425000000000000000e+01,1.196086099182229900e-23
4.450000000000000000e+01,1.091543294881005956e-23
4.475000000000000000e+01,6.994861598546706376e-24
4.500000000000000000e+01,1.815464164425231256e-23
4.525000000000000000e+01,1.750254254738640015e-23
4.550000000000000000e+01,3.076455683008753105e-24
4.575000000000000000e+01,5.785291724234969845e-24
4.600000000000000000e+01,7.401010641913273964e-24
4.625000000000000000e+01,2.568288461078476429e-24
4.650000000000000000e+01,1.307595809894241402e-23
4.675000000000000000e+01,8.920124561214284882e-24
4.700000000000000000e+01,2.707867011968042196e-23
4.725000000000000000e+01,3.294198606727438814e-23
4.750000000000000000e+01,2.600405026161390599e-23
4.775000000000000000e+01,9.792317190833138713e-24
4.800000000000000000e+01,8.618519117356017346e-24
4.825000000000000000e+01,1.539856648886049781e-23
4.850000000000000000e+01,5.252195244239012027e-24
4.875000000000000000e+01,1.609569796783440328e-23
4.900000000000000000e+01,2.842768990934426774e-23
4.925000000000000000e+01,2.128844085367549428e-23
4.950000000000000000e+01,8.626067979825408317e-24
4.975000000000000000e+01,1.385605346554552407e-23
5.000000000000000000e+01,7.358668185709123487e-24
5.025000000000000000e+01,2.484471776552947147e-23
5.050000000000000000e+01,3.615610792476698461e-23
5.075000000000000000e+01,1.526918828187706090e-23
5.100000000000000000e+01,7.446352407757774187e-24
5.125000000000000000e+01,2.294725704329109830e-23
5.150000000000000000e+01,3.102139386530346741e-23
5.175000000000000000e+01,1.035063440653830165e-23
5.200000000000000000e+01,1.782550484968181088e-23
5.225000000000000000e+01,8.399656560599795211e-24
5.250000000000000000e+01,1.928569771817843237e-23
5.275000000000000000e+01,1.191614427935985345e-23
5.300000000000000000e+01,2.223239332017347281e-23
5.325000000000000000e+01,2.158152010732137684e-23
5.350000000000000000e+01,1.816269558892223064e-23
5.375000000000000000e+01,1.063555697437349428e-23
5.400000000000000000e+01,1.825187628589007195e-23
5.425000000000000000e+01,1.093998237676331850e-23
5.450000000000000000e+01,1.880513216928225271e-23
5.475000000000000000e+01,1.826423550930724401e-23
5.500000000000000000e+01,9.210747364931428666e-24
5.525000000000000000e+01,9.206458601190530578e-24
5.550000000000000000e+01,2.070586556602081749e-23
5.575000000000000000e+01,2.300234229259482765e-23
5.600000000000000000e+01,6.672984591045706212e-24
5.625000000000000000e+01,2.650481256376621245e-23
5.650000000000000000e+01,4.211846499304262380e-23
5.675000000000000000e+01,3.054738351887384479e-23
5.700000000000000000e+01,3.114566527377413639e-23
5.725000000000000000e+01,3.986493476887891460e-23
5.750000000000000000e+01,3.368084719073945295e-23
5.775000000000000000e+01,2.500331490135307392e-23
5.800000000000000000e+01,3.258319507602466944e-23
5.825000000000000000e+01,3.887619213665913957e-23
5.850000000000000000e+01,3.756742951662229004e-23
5.875000000000000000e+01,2.343475871828533517e-23
5.900000000000000000e+01,2.816456385614908366e-23
5.925000000000000000e+01,2.076277892258958045e-23
5.950000000000000000e+01,2.662700094122246895e-23
5.975000000000000000e+01,3.186654930773066579e-23
6.000000000000000000e+01,3.769420252558335933e-23
6.025000000000000000e+01,3.065147554682775777e-23
6.050000000000000000e+01,1.478550634820670814e-23
6.075000000000000000e+01,1.564965211292640545e-23
6.100000000000000000e+01,2.333555993009445660e-23
6.125000000000000000e+01,2.988225921785692565e-23
6.150000000000000000e+01,2.543514515651917297e-23
6.175000000000000000e+01,2.360287714774744627e-23
6.200000000000000000e+01,1.991175520896379847e-23
6.225000000000000000e+01,1.812163935582790469e-23
6.250000000000000000e+01,4.823613652372083703e-24
6.275000000000000000e+01,2.111714590400397974e-23
6.300000000000000000e+01,3.483660439580723109e-23
6.325000000000000000e+01,3.507126419015356748e-23
6.350000000000000000e+01,1.734336658865949469e-23
6.375000000000000000e+01,1.611103530705999587e-23
6.400000000000000000e+01,1.486549907925484778e-23
6.425000000000000000e+01,9.447249336078162253e-24
6.450000000000000000e+01,1.559195640655427506e-23
6.475000000000000000e+01,2.110843579152477909e-23
6.500000000000000000e+01,1.512580573833704831e-23
6.525000000000000000e+01,1.895101868109131748e-23
6.550000000000000000e+01,2.540507979643394406e-23
6.575000000000000000e+01,1.871737749921435284e-23
6.600000000000000000e+01,5.666673084151909291e-24
6.625000000000000000e+01,6.137109156339540890e-24
6.650000000000000000e+01,1.788951509304733251e-23
6.675000000000000000e+01,2.403740005805196419e-23
6.700000000000000000e+01,8.244266370773926605e-24
6.725000000000000000e+01,1.769639834997423903e-23
6.750000000000000000e+01,2.289253131315947588e-23
6.775000000000000000e+01,1.370618432583894655e-23
6.800000000000000000e+01,1.069382599054531031e-23
6.825000000000000000e+01,1.335934719394379173e-23
6.850000000000000000e+01,7.856210732121645880e-24
6.875000000000000000e+01,7.518801666297472336e-24
6.900000000000000000e+01,8.531373526331708219e-24
6.925000000000000000e+01,1.766355068354114410e-23
6.950000000000000000e+01,3.477128453719703079e-23
6.975000000000000000e+01,3.833763530405524761e-23
7.000000000000000000e+01,1.370012828893736123e-23
7.025000000000000000e+01,5.004276942591550958e-24
7.050000000000000000e+01,1.907098796424476679e-23
7.075000000000000000e+01,1.952786386271622450e-23
7.100000000000000000e+01,3.214976000294563434e-23
7.125000000000000000e+01,3.733503393210423727e-23
7.150000000000000000e+01,2.869351825001679162e-23
7.175000000000000000e+01,2.035920536422354514e-23
7.200000000000000000e+01,1.474502784312239887e-23
7.225000000000000000e+01,1.894963118179497957e-23
7.250000000000000000e+01,1.438365487749337554e-23
7.275000000000000000e+01,1.601725960967805645e-23
7.300000000000000000e+01,1.550909302564800169e-23
7.325000000000000000e+01,1.776855605610354869e-23
7.350000000000000000e+01,9.650060041291203827e-24
7.375000000000000000e+01,9.091136780634320211e-24
7.400000000000000000e+01,8.564790273825103841e-24
7.425000000000000000e+01,3.757385611487302484e-23
7.450000000000000000e+01,4.669094090102519338e-23
7.475000000000000000e+01,3.497836551481552179e-23
7.500000000000000000e+01,1.747903270626539160e-23
7.525000000000000000e+01,8.717257257302973190e-24
7.550000000000000000e+01,1.022442159876217589e-23
7.575000000000000000e+01,2.155164992404805553e-23
7.600000000000000000e+01,2.335323254926225563e-23
7.625000000000000000e+01,2.194438475341294948e-23
7.650000000000000000e+01,2.523629646102896179e-23
7.675000000000000000e+01,2.167477611033750128e-23
7.700000000000000000e+01,2.878427289757124807e-23
7.725000000000000000e+01,3.424572992694795152e-23
7.750000000000000000e+01,1.643970851865586857e-23
7.775000000000000000e+01,1.608303461902579992e-23
7.800000000000000000e+01,2.957671577666242281e-23
7.825000000000000000e+01,1.590459956038145544e-23
7.850000000000000000e+01,1.222392876969936585e-23
7.875000000000000000e+01,9.551799365824109642e-24
7.900000000000000000e+01,8.584378993744116613e-24
7.925000000000000000e+01,1.106286929002374209e-23
7.950000000000000000e+01,1.987011007364575971e-23
7.975000000000000000e+01,1.057777448407658926e-23
8.000000000000000000e+01,2.127650685109968194e-23
8.025000000000000000e+01,2.242183852299376125e-23
8.050000000000000000e+01,3.662059831139927468e-24
8.075000000000000000e+01,1.776312806524700176e-23
8.100000000000000000e+01,1.703274138280371638e-23
8.125000000000000000e+01,1.849038079721602183e-23
8.150000000000000000e+01,1.943548482623954562e-23
8.175000000000000000e+01,1.406003199375431855e-23
8.200000000000000000e+01,1.214811630584826995e-23
8.225000000000000000e+01,6.532956412190430432e-24
8.250000000000000000e+01,1.263601599328447230e-23
8.275000000000000000e+01,1.941470667079213817e-23
8.300000000000000000e+01,1.288557575180511901e-23
8.325000000000000000e+01,4.058273324016552920e-24
8.350000000000000000e+01,1.392584667522053188e-23
8.375000000000000000e+01,6.844120666429561706e-24
8.400000000000000000e+01,5.178500960218483031e-24
8.425000000000000000e+01,3.370587724644195550e-24
8.450000000000000000e+01,1.852107925189287867e-23
8.475000000000000000e+01,1.503424770720108963e-23
8.500000000000000000e+01,1.765022473034202471e-23
8.525000000000000000e+01,1.948037455020935700e-23
8.550000000000000000e+01,1.714828537635452263e-23
8.575000000000000000e+01,1.768939984360722732e-23
8.600000000000000000e+01,8.071111995508202504e-24
8.625000000000000000e+01,3.862924708524722831e-24
8.650000000000000000e+01,8.011518738970213762e-24
8.675000000000000000e+01,1.638942233087887540e-23
8.700000000000000000e+01,1.488979001988764724e-23
8.725000000000000000e+01,1.918012982253511401e-23
8.750000000000000000e+01,2.893956975267789545e-23
8.775000000000000000e+01,2.766632409234649556e-23
8.800000000000000000e+01,1.412581081035723284e-23
8.825000000000000000e+01,7.263732425730172632e-24
8.850000000000000000e+01,8.318187245418207829e-24
8.875000000000000000e+01,1.889129760890692293e-23
8.900000000000000000e+01,2.108457174105812141e-23
8.925000000000000000e+01,2.179978689485876195e-23
8.950000000000000000e+01,1.923375979990524047e-23
8.975000000000000000e+01,8.764501368063510165e-24
9.000000000000000000e+01,3.701011586086820839e-24
9.025000000000000000e+01,6.694531465547653382e-24
9.050000000000000000e+01,5.214103930789687579e-24
9.075000000000000000e+01,4.931310263453471765e-24
9.100000000000000000e+01,1.222459736698797987e-23
9.125000000000000000e+01,1.884881474582447070e-23
9.150000000000000000e+01,2.153745260967613434e-23
9.175000000000000000e+01,2.438909828280566646e-23
9.200000000000000000e+01,2.391029796121914215e-23
9.225000000000000000e+01,2.012019775977066643e-23
9.250000000000000000e+01,1.207163859968857216e-23
9.275000000000000000e+01,1.279446962347769383e-23
9.300000000000000000e+01,6.795328465582917230e-24
9.325000000000000000e+01,6.135608240356215299e-24
9.350000000000000000e+01,7.315349110682795800e-24
9.375000000000000000e+01,3.990425868162255379e-24
9.400000000000000000e+01,1.612583849669560330e-23
9.425000000000000000e+01,2.472023113259989301e-23
9.450000000000000000e+01,2.180609140809635926e-23
9.475000000000000000e+01,1.181898615430372331e-23
9.500000000000000000e+01,3.289496881145144461e-24
9.525000000000000000e+01,8.269863431062211372e-24
9.550000000000000000e+01,1.261424014056369752e-23
9.575000000000000000e+01,1.676038107923949665e-23
9.600000000000000000e+01,2.471935115650894683e-23
9.625000000000000000e+01,2.249215296851623867e-23
9.650000000000000000e+01,2.388058137229345903e-23
9.675000000000000000e+01,1.067412541534854275e-23
9.700000000000000000e+01,1.730243725471227334e-23
9.725000000000000000e+01,2.063393064946853759e-23
9.750000000000000000e+01,8.284707489758375296e-24
9.775000000000000000e+01,6.440711087977338582e-24
