totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
834089.4071078151 -24509.70783759751 -16515.07007107318 437557.0925082429 437557.0925082429 197.5491719224162 0 0 197.5491719224162 -6.206778379787981 203.7559503022042
845230.3423720652 -14829.25778046555 -15054.58486395511 437557.0925082429 437557.0925082429 202.2559166760234 0 0 202.2559166760234 -6.206778379787981 208.4626950558114
845626.2726067386 -14642.02041093037 -14845.89199881682 437557.0925082429 437557.0925082429 343.3318969895889 0 0 343.3318969895889 -6.206778379787981 349.5386753693768
845846.9087331753 -14637.88988473337 -14629.38639857722 437557.0925082429 437557.0925082429 341.5217471723306 0 0 341.5217471723306 -6.206778379787981 347.7285255521186
846056.5449670088 -14502.57140297448 -14555.06864650261 437557.0925082429 437557.0925082429 338.1993881857112 0 0 338.1993881857112 -6.206778379787981 344.4061665654992
846098.8232750761 -14541.61449758069 -14473.7472438291 437557.0925082429 437557.0925082429 342.6779880446946 0 0 342.6779880446946 -6.206778379787981 348.8847664244826
846213.405702262 -14395.01134746251 -14505.76796676133 437557.0925082429 437557.0925082429 339.7449917486554 0 0 339.7449917486554 -6.206778379787981 345.9517701284433
846303.0718054029 -14342.61842826375 -14468.4947828193 437557.0925082429 437557.0925082429 339.0144351934919 0 0 339.0144351934919 -6.206778379787981 345.2212135732799
846325.4963242332 -14330.28000310439 -14458.40868914817 437557.0925082429 437557.0925082429 339.048632933659 0 0 339.048632933659 -6.206778379787981 345.2554113134469
846338.7450184822 -14316.95759222819 -14458.48240577546 437557.0925082429 437557.0925082429 338.939995246451 0 0 338.939995246451 -6.206778379787981 345.146773626239
846432.1611985888 -14291.64732905183 -14390.37648884525 437557.0925082429 437557.0925082429 338.8365037332944 0 0 338.8365037332944 -6.206778379787981 345.0432821130823
846465.189710694 -14281.09435397286 -14367.900951819 437557.0925082429 437557.0925082429 340.7675136290958 0 0 340.7675136290958 -6.206778379787981 346.9742920088838
846509.9187401463 -14191.44161534965 -14412.8246609899 437557.0925082429 437557.0925082429 340.2050216141371 0 0 340.2050216141371 -6.206778379787981 346.4117999939251
846466.8976660217 -14215.9642673108 -14431.32308315327 437557.0925082429 437557.0925082429 234.9920548520984 0 0 234.9920548520984 -6.206778379787981 241.1988332318864
846573.8180951132 -14143.27493640457 -14397.0919849682 437557.0925082429 437557.0925082429 338.824856809347 0 0 338.824856809347 -6.206778379787981 345.0316351891349
846535.9344025265 -14178.51349842668 -14399.73711553269 437557.0925082429 437557.0925082429 340.177193098686 0 0 340.177193098686 -6.206778379787981 346.3839714784739
