domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 1.745851405103312e-47
20.25 1.625092157488649e-47
20.5 9.296020640128995e-48
20.75 1.321676834691376e-46
21 1.217958045570928e-46
21.25 4.693637174064391e-47
21.5 9.700635747270578e-48
21.75 6.116616679281098e-47
22 1.181723144465244e-47
22.25 2.324747681900852e-47
22.5 1.146272759107927e-47
22.75 2.764969913555152e-47
23 5.705261999201257e-47
23.25 7.388727853480291e-47
23.5 1.133021928377247e-46
23.75 2.959074024475157e-47
24 9.086915849960759e-47
24.25 6.621088833762775e-47
24.5 1.488507132703219e-47
24.75 8.227247703713319e-48
25 7.920866561075764e-47
25.25 8.41614957283003e-47
25.5 1.025079329337858e-46
25.75 5.081666411742107e-47
26 1.224789349460107e-46
26.25 1.891844622701458e-46
26.5 2.81049427343403e-46
26.75 9.457738794439319e-47
27 4.748135460128803e-47
27.25 1.708430785052664e-47
27.5 3.644994967200647e-47
27.75 3.437599370140818e-47
28 2.554060422426832e-47
28.25 1.387891951640039e-47
28.5 1.109432328328048e-47
28.75 6.454989628733499e-47
29 1.450758708143778e-46
29.25 1.448876022178693e-46
29.5 2.69954891363423e-47
29.75 4.801830441395908e-47
30 2.088786551735879e-47
30.25 7.435183123117821e-48
30.5 7.240516870530785e-47
30.75 1.113803888432473e-46
31 6.906472870563416e-47
31.25 9.660276861392055e-47
31.5 9.66035065846503e-47
31.75 2.005810885015456e-46
32 3.52136706469061e-46
32.25 4.679635029435345e-46
32.5 3.881915993103548e-46
32.75 8.947885501213129e-47
33 3.567196645986217e-47
33.25 4.117239819605287e-47
33.5 4.763216720982328e-47
33.75 2.071271562383175e-46
34 4.905753227441554e-47
34.25 1.107915223517739e-47
34.5 2.261348987885121e-47
34.75 3.576870170113078e-47
35 9.427571305601306e-47
35.25 5.123007235764676e-46
35.5 1.761392305388991e-46
35.75 1.273521923588403e-46
36 2.271704707286739e-46
36.25 2.040822158960155e-46
36.5 1.560462114462328e-46
36.75 2.810930860059907e-46
