# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
5.393430109018300736e-09 8.627740746134011408e-09 1.068266480624361497e-08 1.273107225988490826e-08 1.589660118009273912e-08
8.595907162960549422e-09 1.178144319775864535e-08 1.385763133898102600e-08 1.594337700866455508e-08 1.912450178342267604e-08
1.031862361874913425e-08 1.370668880018533972e-08 1.587746965999413395e-08 1.803519837726558217e-08 2.131716116669270245e-08
1.060009427900510809e-08 1.423174250225322374e-08 1.650051131027539114e-08 1.874333151945066500e-08 2.216941788913545652e-08
9.607174773464599235e-09 1.329714505995602258e-08 1.567595545948555213e-08 1.802883818071646799e-08 2.158195864588371288e-08
7.330708456769214482e-09 1.096012165616513934e-08 1.344796315944736184e-08 1.589011037030421680e-08 1.956767512194430847e-08
3.950096989899145455e-09 7.503737350662148531e-09 9.961813144786918484e-09 1.244422086210672518e-08 1.621962803139993109e-08
-1.760668750551419581e-10 3.210194663100327667e-09 5.606205246940550863e-09 8.039135222098758859e-09 1.182386844699899117e-08
-4.839196830145470196e-09 -1.585467006352770866e-09 7.200233727929113148e-10 3.048253319356229729e-09 6.734473672188705240e-09
-9.686793866507865426e-09 -6.487715257272146097e-09 -4.255483435170468245e-09 -2.059899095047112993e-09 1.443525375350706436e-09
-1.426645338827416468e-08 -1.105835603781315200e-08 -8.925834299217290380e-09 -6.778406048371828085e-09 -3.572743043740115448e-09
-1.821770033850859949e-08 -1.495627140912130296e-08 -1.284358114918846341e-08 -1.072526227256938823e-08 -7.595266335459055756e-09
-2.108781388453304789e-08 -1.784979881247874059e-08 -1.569774796391851246e-08 -1.354824940137753370e-08 -1.030459286424493560e-08
-2.276920218948624841e-08 -1.942103493302038686e-08 -1.719761054679198875e-08 -1.495651840203136851e-08 -1.144168572468065234e-08
-2.297831625691117152e-08 -1.952180887039231538e-08 -1.720240899499760751e-08 -1.486267581219096606e-08 -1.112936284287675132e-08
-2.170481827590536178e-08 -1.810613383984756297e-08 -1.568087945114701037e-08 -1.322828208519884370e-08 -9.379133367095476848e-09
-1.897568738750375628e-08 -1.523879950482073808e-08 -1.274624191209463436e-08 -1.021101305972212797e-08 -6.341707782498394452e-09
-1.499036226984377940e-08 -1.113390456442204038e-08 -8.634421043006868662e-09 -6.118166367193728084e-09 -2.301801004656175639e-09
-1.003475423274387962e-08 -6.203171041120700974e-09 -3.751128930043479137e-09 -1.273659369676249584e-09 2.411230880759729356e-09
-4.568943673811769191e-09 -8.671994701655270921e-10 1.498975224788244923e-09 3.891367347276519784e-09 7.518864861264965916e-09
9.291978196130029968e-10 4.384415930709867695e-09 6.660696873350279053e-09 8.975246202686968863e-09 1.256045324956396765e-08
5.862181094609501819e-09 9.089602550889711030e-09 1.131566087022879002e-08 1.352545908378435108e-08 1.715325990180927886e-08
9.648000295741905683e-09 1.281293964032698476e-08 1.499647187328109407e-08 1.720371183729888127e-08 2.083399186394822855e-08
1.191892156488221638e-08 1.522818967865206818e-08 1.742976614107398861e-08 1.965409630183545531e-08 2.324189529246192820e-08
1.261956950895058716e-08 1.606916355490969894e-08 1.833738766626562267e-08 2.063390101630317025e-08 2.434023746336437533e-08
1.173052633111557053e-08 1.529528846064059575e-08 1.766774310559731179e-08 2.004566048417234791e-08 2.388278711352043865e-08
9.314160141294172690e-09 1.294761291009607213e-08 1.541547933525460809e-08 1.790584700964940185e-08 2.186442838825013169e-08
5.639643592023849822e-09 9.259479141873923347e-09 1.180328490041305731e-08 1.431441306145361109e-08 1.839977895154616683e-08
1.031588290430120874e-09 4.581858840848728603e-09 7.095789845892180869e-09 9.648313082993246331e-09 1.375353997124005925e-08
-4.226063849004937055e-09 -7.210388867462218243e-10 1.749904333673483851e-09 4.234655707661223387e-09 8.340111903285159223e-09
-9.640606406377609213e-09 -6.176473886542518249e-09 -3.768843824156729860e-09 -1.379829644206770345e-09 2.502408027674077676e-09
-1.475289102627385177e-08 -1.131655715395419627e-08 -9.016655168922298180e-09 -6.691181125611980057e-09 -3.066019917011102158e-09
-1.914543125783058769e-08 -1.574758045814225564e-08 -1.354040127642271683e-08 -1.124522984154380581e-08 -7.863912583562417818e-09
-2.241601598426939262e-08 -1.906885155431459894e-08 -1.688245005121782882e-08 -1.465139979074637187e-08 -1.129105820537983085e-08
-2.435219648871424225e-08 -2.098111934265966400e-08 -1.876356190235774213e-08 -1.654087096030496321e-08 -1.305412020172972819e-08
-2.485088900362319303e-08 -2.131883810110868360e-08 -1.901109157782538556e-08 -1.671819783972223680e-08 -1.316522258641402224e-08
-2.366187853823382287e-08 -2.001076432556420440e-08 -1.760328856574740197e-08 -1.520633312421682676e-08 -1.154673867642414670e-08
-2.095450981200001894e-08 -1.708948494944916713e-08 -1.463334065238738185e-08 -1.213249568778745902e-08 -8.411473363700069233e-09
-1.685091730952228972e-08 -1.287622264215838863e-08 -1.034135689077396100e-08 -7.768157441899372490e-09 -4.048192049318274227e-09
-1.172847498905494473e-08 -7.631251055769186498e-09 -5.096798430623706438e-09 -2.560500524307523021e-09 1.129125649939775530e-09
-5.921809819310445977e-09 -1.876608990544672423e-09 5.949318510707277130e-10 3.112283335093648010e-09 6.786925912032970923e-09
-1.690923841376167081e-11 3.871407245847305507e-09 6.295626210156774274e-09 8.736182918896683025e-09 1.233496184462393435e-08
5.402145297419983297e-09 9.122598687908139298e-09 1.149656397771842142e-08 1.382095440928565212e-08 1.740518646017267385e-08
9.725212174525703357e-09 1.337234232606744275e-08 1.569499289116437629e-08 1.796133897603163776e-08 2.145103086533071274e-08
1.260926227680488933e-08 1.627361538770631319e-08 1.855202325155803564e-08 2.078072893277327360e-08 2.418112984809784108e-08
1.365779278772938019e-08 1.748734108295837628e-08 1.976348268129283700e-08 2.200342687062482525e-08 2.541986761849749504e-08
1.304055215691651316e-08 1.691527193038418544e-08 1.925730386509146366e-08 2.159161943075110779e-08 2.505897878795921435e-08
1.063079021991139572e-08 1.459837277944337972e-08 1.705579066830576265e-08 1.946202286807162396e-08 2.297734369888530456e-08
6.706365414876295367e-09 1.079546382772326660e-08 1.331913018808375537e-08 1.579273771484682523e-08 1.948569985866979021e-08
1.700921487248689516e-09 5.838397537454541320e-09 8.396717125042866409e-09 1.092639620171561091e-08 1.467260602513315026e-08
-3.997430789742686778e-09 1.217899177775177977e-10 2.699714465111309469e-09 5.219414188096247256e-09 9.033360394016150263e-09
-9.889383220647665357e-09 -5.815720215493090303e-09 -3.257233497543565379e-09 -7.954563238025784411e-10 2.864481151435742737e-09
-1.548436400888170139e-08 -1.144488340210081390e-08 -8.994621501361458812e-09 -6.574099102498853070e-09 -3.052177983877552014e-09
-2.030958016596261934e-08 -1.635517866602730075e-08 -1.397310863524470377e-08 -1.160540595614438682e-08 -8.200524409282907747e-09
-2.385718948446930582e-08 -2.005043327690195915e-08 -1.773872482430972897e-08 -1.545563646100753426e-08 -1.205681916143560434e-08
-2.589820235977986773e-08 -2.222846882390461590e-08 -1.998404100951286025e-08 -1.773193503400855020e-08 -1.428478836842830661e-08
-2.632834617655828088e-08 -2.273161206966731185e-08 -2.046761386482846834e-08 -1.821221605997707348e-08 -1.470686217849414418e-08
-2.506101919562409019e-08 -2.149865027851766835e-08 -1.914202450373084577e-08 -1.684427986773252145e-08 -1.328535255255575837e-08
-2.219524801233205280e-08 -1.853232991800559878e-08 -1.613354763609249620e-08 -1.371996256595243643e-08 -1.006120170889742566e-08
-1.784597825868787166e-08 -1.417464100462355672e-08 -1.169004525472527867e-08 -9.195316632882059513e-09 -5.392532154943922504e-09
-1.248093170507684826e-08 -8.733448467532342260e-09 -6.195809671794092616e-09 -3.643218728489969888e-09 3.138364788180100437e-10
-6.414615439433732705e-09 -2.658958288140680915e-09 -1.463070698393045127e-10 2.455911825345754272e-09 6.485368554524657131e-09
-1.297296174293787602e-10 3.485105979752546081e-09 5.960638688304233795e-09 8.507644460028032131e-09 1.253919615135015014e-08
5.589644733698792209e-09 9.115375389939263384e-09 1.157135517943332428e-08 1.402557790465249268e-08 1.810487287997805672e-08
