# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-4.103348898458394206e-11 -1.144552600482531823e-11 -9.780961983266514559e-13 8.953493857238002673e-12 3.795182885405617990e-11
-4.400572830123069407e-11 -1.561147040904809630e-11 -5.097157213722423169e-12 4.881225320317074401e-12 3.156116310681390813e-11
-4.547400319796987556e-11 -1.881907397114929853e-11 -8.663787813252901704e-12 8.235281759912810307e-13 2.447188572661865291e-11
-4.414304154414655512e-11 -2.075636196122512822e-11 -1.136488890192757784e-11 -2.431942966235264847e-12 1.734749073990099477e-11
-4.232535486372104860e-11 -2.132395478184230531e-11 -1.273000254471343129e-11 -4.576252774619003760e-12 1.181426357026345297e-11
-4.086906864770060641e-11 -2.095332994568252505e-11 -1.284690192090596692e-11 -5.411490469598399800e-12 9.480478942581853363e-12
-3.964326759117557664e-11 -1.985701617783323936e-11 -1.201515250411500785e-11 -4.719931775065341895e-12 1.287143045684661924e-11
-3.901758332657684347e-11 -1.802112734212990564e-11 -1.005163615915623948e-11 -2.382865504576853893e-12 2.075212481781989193e-11
-3.735154041259718810e-11 -1.532131160223576538e-11 -7.028412106599348647e-12 1.196677681941779245e-12 2.983612037716753401e-11
-3.531919137852394114e-11 -1.185336379017857406e-11 -3.402140839826785917e-12 5.813122715397217588e-12 3.798831285347151199e-11
-3.139284123453156550e-11 -7.985340090988640727e-12 7.215088444235961962e-13 1.064818116560989521e-11 4.534358186234627164e-11
-2.604108472099592869e-11 -3.933754645131124980e-12 4.969523212806480766e-12 1.502760451342101400e-11 4.851980523222021793e-11
-1.984171613361555842e-11 -1.700274307198795798e-14 8.638953118947530208e-12 1.828018101202987661e-11 5.021628565174320741e-11
-1.428817971598807246e-11 3.151261369904734266e-12 1.132157926707778178e-11 2.053251215968290855e-11 4.937880440365575996e-11
-9.113710925257728634e-12 5.217253495545803865e-12 1.296788937625754923e-11 2.138342099417857300e-11 4.686513986129972609e-11
-6.911043663889414324e-12 6.029460107191339513e-12 1.319307252963149157e-11 2.120732867203108107e-11 4.382518854111408513e-11
-9.426147362656678297e-12 5.430171838848333807e-12 1.250058254608985009e-11 2.021938912415317813e-11 4.071873071468008753e-11
-1.634051742657391393e-11 3.399456575476278095e-12 1.074572592366096480e-11 1.841221875756738485e-11 3.859851338289949085e-11
-2.399915306088885869e-11 1.042439704300240563e-13 7.978463687787450132e-12 1.579390524614199265e-11 3.631851598433731565e-11
-3.239546378006573357e-11 -4.244594225524724734e-12 4.488683777697632243e-12 1.237245473174192201e-11 3.322703384948857280e-11
-4.030569708015057512e-11 -8.947902694397130707e-12 4.827145017797900006e-13 8.355537507546972886e-12 2.880607570239588494e-11
-4.616831254051958350e-11 -1.338361515932024251e-11 -3.758938757589432023e-12 4.268679824220335262e-12 2.390228031506121814e-11
-4.884889116607083262e-11 -1.693704919559666996e-11 -7.503229848960894788e-12 3.813923122090133455e-13 1.833077176919932494e-11
-4.964462460641926728e-11 -1.957668421359408384e-11 -1.055038819980022580e-11 -2.866894465965511007e-12 1.291714540776860154e-11
-4.846015570162537367e-11 -2.089754121159005662e-11 -1.256515647551827847e-11 -5.182691759477234261e-12 8.050156136314712274e-12
-4.654468452910780207e-11 -2.113401511086299145e-11 -1.324022834627719154e-11 -6.384364255795568766e-12 5.933965870215905658e-12
-4.300188314156419556e-11 -2.055329720979624797e-11 -1.289256592110210597e-11 -6.171921399520177709e-12 7.075813486566787103e-12
-3.970580271907622749e-11 -1.908697044817816990e-11 -1.150027603935522766e-11 -4.557867545028088802e-12 1.177709142095298075e-11
-3.630197357995523788e-11 -1.675803953612477193e-11 -9.141547470446851481e-12 -1.589412747872746487e-12 1.872599535016668953e-11
-3.346369329641080137e-11 -1.372694735047512264e-11 -5.935033321464826261e-12 2.181400286777436873e-12 2.653813862998725959e-11
-2.957308412097989919e-11 -9.961478826059702585e-12 -2.265535103810646655e-12 6.575323849311066893e-12 3.372882560000092095e-11
-2.500858386074141307e-11 -5.921493384606485444e-12 1.802473873825129191e-12 1.098238235514590114e-11 3.943206912794365582e-11
-2.026682321314490776e-11 -2.024611842109738657e-12 5.653752270360799456e-12 1.487548747917434577e-11 4.387410857661705119e-11
-1.509997120017429056e-11 1.497081741886306661e-12 8.988278017382257679e-12 1.768723817581474567e-11 4.557672360854360741e-11
-1.042186351324705940e-11 4.208331803152130790e-12 1.137003677515770195e-11 1.947365871530527814e-11 4.596510008009722925e-11
-7.745657522491289360e-12 5.888385685623963306e-12 1.258441758461049942e-11 2.016535693310540778e-11 4.388345990844616518e-11
-7.906687613391371466e-12 6.240266143446929203e-12 1.281192868267909402e-11 2.015372368774012712e-11 4.112466123933414264e-11
