# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.246377241121935708e-03 -1.234705884774922602e-03 -6.372845946441135778e-04 -6.381432416913135341e-05 1.193113330522632687e-03
-2.044947191683521570e-03 -1.049583392240240054e-03 -4.860402131663249525e-04 7.239454312061438523e-05 1.255801840842771244e-03
-1.818553934635563918e-03 -8.666683244454714830e-04 -3.393409167234268109e-04 2.264664031229046692e-04 1.351404283481932866e-03
-1.600730448315546006e-03 -7.045649028733225183e-04 -1.752077948874997126e-04 3.681664412401863817e-04 1.443191483158412503e-03
-1.386621779903368656e-03 -5.356172330170105855e-04 -2.129548334739439497e-05 5.123420524520000408e-04 1.554563959907162563e-03
-1.204408930157163660e-03 -3.724847579938406206e-04 1.423569311433947604e-04 6.516107775732249419e-04 1.628951031355296841e-03
-1.024836465334022506e-03 -2.203175628437969991e-04 3.021800344505942704e-04 8.105839536734493755e-04 1.757256261223194560e-03
-8.538727528814016310e-04 -6.133216233411564744e-05 4.576573199712719031e-04 9.692306550973528445e-04 1.863090003857231780e-03
-6.944594598390363416e-04 9.975906687864632971e-05 6.072743154254545139e-04 1.118422090271353753e-03 2.022130359234791674e-03
-5.281766348080307871e-04 2.555326765343868267e-04 7.384810374484462869e-04 1.270642174239278166e-03 2.143627056525210239e-03
-3.793387863321173725e-04 3.991737570864795082e-04 8.666833215649205613e-04 1.420004411439523828e-03 2.254458969538575275e-03
-2.476217355614207527e-04 5.283825018109755689e-04 9.933816126048711226e-04 1.582561119434222618e-03 2.382467826530731969e-03
-1.320327349677574702e-04 6.462935133793035192e-04 1.121319615631222177e-03 1.739769375204092139e-03 2.521097125696925012e-03
-1.937506280175194107e-05 7.469576873743166701e-04 1.243647478065712519e-03 1.893635801311410738e-03 2.681405114249302279e-03
9.694648333485877956e-05 8.390154593905796432e-04 1.366241960613301387e-03 2.040846996687439852e-03 2.871481127190489424e-03
2.102858605755875132e-04 9.402923771828497479e-04 1.473949312206679352e-03 2.168165532822119435e-03 3.067349136899100159e-03
3.155157848661327424e-04 1.029730278264362475e-03 1.575672566033858857e-03 2.277351571920327444e-03 3.247269623061654897e-03
4.001700665866581019e-04 1.112207877648929699e-03 1.670058118532047331e-03 2.353861238623022878e-03 3.414166052565725806e-03
4.693430539824960945e-04 1.200568370783791639e-03 1.760911402583886787e-03 2.433138442954452252e-03 3.553932959363181876e-03
5.392743469211369600e-04 1.282977677707755615e-03 1.840966140839728205e-03 2.525237601694541034e-03 3.648515842304439483e-03
5.878609539773232973e-04 1.335062391816334293e-03 1.900193459151516828e-03 2.618360714475159723e-03 3.756780980126370184e-03
6.305305346012979317e-04 1.383325265428947404e-03 1.960336196035333822e-03 2.703100488449045047e-03 3.865044719822574582e-03
6.524666257496369859e-04 1.425757482603873250e-03 2.023717014074874476e-03 2.775255249866243057e-03 3.977197919014990868e-03
6.601276976920256168e-04 1.473170914604637893e-03 2.075136489710804888e-03 2.836751300538647991e-03 4.077072804902548420e-03
6.628777437119315330e-04 1.504103854970573195e-03 2.114198356449825678e-03 2.884257930994837960e-03 4.176045728701810456e-03
6.453540224143905490e-04 1.519132694413505291e-03 2.147529569513695336e-03 2.925142078398168533e-03 4.252833810124201364e-03
6.251565292699767795e-04 1.528930308319909059e-03 2.159493889445807113e-03 2.934353663516187094e-03 4.299122939097455021e-03
5.745425186496344594e-04 1.539475152390834545e-03 2.172840429274680574e-03 2.964584495719457813e-03 4.338980559612959365e-03
5.369821562114518443e-04 1.544092645339834036e-03 2.180456341317027480e-03 2.976327074880213974e-03 4.352779132398509887e-03
5.053020336042712835e-04 1.538844099378988695e-03 2.171403811855987520e-03 2.983082777412215947e-03 4.349319016153652129e-03
4.522160896150984044e-04 1.510474637142600329e-03 2.144013006367739838e-03 2.986706593665067189e-03 4.325489977933971719e-03
3.837043271583406856e-04 1.468668723734578574e-03 2.106791778922256775e-03 2.971993649152793182e-03 4.280008820442715578e-03
2.973550853327400212e-04 1.409906922112375005e-03 2.067899705209930161e-03 2.944307012022140402e-03 4.217179164525908242e-03
2.129686986498680046e-04 1.356229152623025791e-03 2.021620410265240197e-03 2.914211966608015736e-03 4.148096180019544832e-03
1.174058670679739569e-04 1.286054779626039091e-03 1.969654303836831932e-03 2.871689798732701693e-03 4.063891090411719809e-03
1.809366877209006574e-05 1.210884838098363891e-03 1.911870638035238767e-03 2.813444501163511746e-03 3.956208604387057015e-03
-7.647380822192739735e-05 1.125075489974300402e-03 1.851323373193665411e-03 2.749747506965383170e-03 3.841401035755448445e-03
-1.587238350007069698e-04 1.048399849213288437e-03 1.772519898317823084e-03 2.674389809987104405e-03 3.695132516943075429e-03
-2.301099406522566504e-04 9.626212696074720743e-04 1.682364504981492814e-03 2.572559072377578193e-03 3.536461657487055543e-03
-3.012014122321521326e-04 8.640451133851215215e-04 1.581694775656727892e-03 2.447391662911128918e-03 3.406238160951355343e-03
-3.819780357044721963e-04 7.729710814466939084e-04 1.474651646670765981e-03 2.307158765401051692e-03 3.272777312071400990e-03
-5.506880765943980571e-04 6.835804440695758544e-04 1.359860685775371447e-03 2.162209707358496436e-03 3.113831459926059975e-03
-7.154572509112389067e-04 5.891524771202694133e-04 1.245511511778485403e-03 2.006620183278517988e-03 2.947884510910769862e-03
-8.466354768719014379e-04 4.881319610055140368e-04 1.121578134071016253e-03 1.843042647428350111e-03 2.824303213535356294e-03
-9.826456562105623238e-04 3.736189626060149038e-04 9.919127564712582057e-04 1.681930614228555054e-03 2.679130620483721748e-03
