# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.391188135282551475e-03 -9.369071117790173098e-04 -2.478987933650020348e-04 3.815020431700566483e-04 1.192582485907561773e-03
-2.566197145451278722e-03 -1.090371961747351598e-03 -4.057501473736513375e-04 2.107911308961152308e-04 1.055658582440582860e-03
-2.725248078555980724e-03 -1.291908860747620347e-03 -5.641519671761019428e-04 3.856747293213419470e-05 8.838817076809724060e-04
-2.859261970402232622e-03 -1.479995370413128564e-03 -7.182660503160798182e-04 -1.229008396456954255e-04 7.569538180752788392e-04
-2.992721168802711662e-03 -1.689037318066813342e-03 -8.839620444311413472e-04 -2.653105173874570344e-04 6.344070373441729194e-04
-3.126694672684657283e-03 -1.872159218720859108e-03 -1.060132915528068376e-03 -3.982222378988709011e-04 5.068885421612018272e-04
-3.251274777652482517e-03 -2.060018098686104693e-03 -1.233672721083323154e-03 -5.217767657428318273e-04 4.109042461995504603e-04
-3.373847869191426430e-03 -2.233160134942624442e-03 -1.413561706447130639e-03 -6.521616917585237871e-04 3.113513868118755745e-04
-3.480795763126709463e-03 -2.388170810411205380e-03 -1.578403442050235750e-03 -7.866372942410548852e-04 2.309568123833316555e-04
-3.587590420781550105e-03 -2.538717793647338183e-03 -1.729179117065271498e-03 -9.113211045870261984e-04 1.599124963362896779e-04
-3.731108716021058758e-03 -2.685776841378828550e-03 -1.881952464701075467e-03 -1.041078252833949058e-03 9.984552195613227710e-05
-3.832759730848511737e-03 -2.827058155386752425e-03 -2.022231773147142864e-03 -1.170118274376963363e-03 5.016936049095921391e-05
-3.946141553065662944e-03 -2.940168872175075165e-03 -2.153943257975021730e-03 -1.299851967075715820e-03 4.558218468297958736e-05
-4.028500305705118301e-03 -3.036794570915657410e-03 -2.274284126847603282e-03 -1.416558075849394527e-03 5.379218764678395104e-05
-4.106319203382780003e-03 -3.130134686142094225e-03 -2.385777194399918422e-03 -1.532883867071399564e-03 5.600113807635587193e-05
-4.153124888571835260e-03 -3.203934078937598073e-03 -2.477937588063805485e-03 -1.634453780194888850e-03 4.133979140308330358e-05
-4.191290058858487821e-03 -3.257465221429223234e-03 -2.559109875542475709e-03 -1.736121986287308960e-03 6.914594174550758865e-05
-4.219620908562426997e-03 -3.303256986484703894e-03 -2.611319499549791256e-03 -1.820291007513297199e-03 7.270563430447629649e-05
-4.246054602468574135e-03 -3.355712237681662824e-03 -2.653857797437514376e-03 -1.898174997643609085e-03 1.049957619747576842e-04
-4.270551086600238300e-03 -3.400652293835793039e-03 -2.699937011127251374e-03 -1.958164090718944594e-03 1.211658169346860325e-04
-4.301283192126865995e-03 -3.443744127982636960e-03 -2.730206070479884728e-03 -2.000240662226648869e-03 1.415408958794217575e-04
-4.310790063829672558e-03 -3.461448561372593158e-03 -2.725430254630206717e-03 -2.026275889262740826e-03 1.371974976053097484e-04
-4.307122737262358836e-03 -3.465550380042037304e-03 -2.721763387182829508e-03 -2.025107452469254721e-03 1.587993169980816965e-04
-4.276980252627626822e-03 -3.437434758524537948e-03 -2.721564634615925016e-03 -1.996036039652149263e-03 1.443916295592040377e-04
-4.244168655684166236e-03 -3.403830251609840651e-03 -2.717068821093016062e-03 -1.990469463148347717e-03 1.615768070725165373e-04
-4.194645553334375165e-03 -3.354915787691814533e-03 -2.687961200158128783e-03 -1.939644800877493580e-03 1.640597958996181660e-04
-4.124333655257550468e-03 -3.302987042215987934e-03 -2.651573001145268726e-03 -1.876082031491033142e-03 1.833368398703183466e-04
-4.041781252624998544e-03 -3.230773197027803079e-03 -2.604149038483161149e-03 -1.789643083168201976e-03 1.922068964569367822e-04
-3.961872443266289956e-03 -3.158547224914598495e-03 -2.533557195524394068e-03 -1.703722988963540796e-03 2.268827780805837691e-04
-3.877106488868742318e-03 -3.068728440783208278e-03 -2.441164629202574599e-03 -1.607265138084679190e-03 2.354270246551215529e-04
-3.805294106679096844e-03 -2.987958138902069294e-03 -2.331288359788186160e-03 -1.501285124786172487e-03 2.817939100981381451e-04
-3.706947868688637016e-03 -2.887994802744597855e-03 -2.214781676805804844e-03 -1.397670659989691533e-03 3.160675324717365786e-04
-3.610204111006279359e-03 -2.774284641052768285e-03 -2.079571113746875310e-03 -1.300151595710563601e-03 3.462205035900389749e-04
-3.488472295714223348e-03 -2.657839899397437117e-03 -1.943284871901512778e-03 -1.183929638445671562e-03 3.576139305681014235e-04
-3.365577284744902808e-03 -2.519050671660832963e-03 -1.806363433621227532e-03 -1.046658069254857715e-03 4.081165540969905470e-04
-3.238297039445600656e-03 -2.369260343335496954e-03 -1.672149259604349680e-03 -8.993598114361844864e-04 4.629350158970035878e-04
-3.105428744358096349e-03 -2.221315750750296747e-03 -1.519133505882813706e-03 -7.478047007926091894e-04 5.571648327629408204e-04
-2.957432830535844381e-03 -2.054554575906808456e-03 -1.365713522847145089e-03 -5.925805586500798583e-04 6.721107993997166297e-04
