# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.275516565865103036e-08 -1.895974982590344082e-08 -1.633098839417135989e-08 -1.360451384977302142e-08 -8.822174279955394272e-09
-2.281057311873807558e-08 -1.887970881237280296e-08 -1.611093069185925292e-08 -1.312505365069077667e-08 -7.779157014408712156e-09
-2.127951336536662574e-08 -1.727919109683305476e-08 -1.446590449857843019e-08 -1.132019210943642495e-08 -5.511880756285322813e-09
-1.835028280868476747e-08 -1.432422164562852096e-08 -1.148623624219833467e-08 -8.302222344932358444e-09 -2.164540723742502948e-09
-1.426567570322889722e-08 -1.023155353550939811e-08 -7.406454393310470813e-09 -4.344643322651319320e-09 1.872234868332232904e-09
-9.317637460583890613e-09 -5.291246243943354549e-09 -2.633454751927452944e-09 2.490842964828973716e-10 6.081411190492040653e-09
-3.874015780044870461e-09 -6.561726764156214364e-11 2.471085420920754450e-09 5.117623760528267063e-09 1.041526717876582048e-08
1.392846896847155236e-09 4.969651587222612826e-09 7.367891537602300894e-09 9.879757198276700042e-09 1.440209991211336121e-08
5.883117724318071007e-09 9.335096076598355455e-09 1.163463455132874962e-08 1.408390527961908383e-08 1.802895551741238306e-08
8.954472061626153612e-09 1.255265487626160137e-08 1.494503200447777624e-08 1.734269494484651231e-08 2.113813640726609766e-08
1.033009396880953112e-08 1.438842301472340003e-08 1.694048009585457509e-08 1.946633298814930829e-08 2.330939468888791263e-08
9.825718618079737343e-09 1.467017795615680256e-08 1.747951806343669978e-08 2.017989145502042253e-08 2.408625050852406663e-08
7.825203517716067259e-09 1.341639050854090409e-08 1.650589872127881247e-08 1.932143895669747452e-08 2.333017694853591062e-08
4.482544355664808133e-09 1.073705921048051515e-08 1.405872600301373565e-08 1.694202802831820676e-08 2.104610262942344795e-08
9.833268335875111621e-11 6.939016702163167127e-09 1.030017199234612574e-08 1.322877565227299074e-08 1.732465682648424640e-08
-4.659610124775528245e-09 2.344913491245798065e-09 5.582258043047285886e-09 8.431132988485391666e-09 1.250395259051349447e-08
-9.424611320746692500e-09 -2.718461254605335220e-09 3.184563997053746487e-10 3.068902780013239850e-09 6.999699590564886775e-09
-1.387347674702875747e-08 -7.837145632114128624e-09 -5.043330882567045002e-09 -2.435257370758669992e-09 1.285201878514080631e-09
-1.775953983754272741e-08 -1.263959189523318309e-08 -9.987854014117600321e-09 -7.499726311087666006e-09 -3.888426844400605376e-09
-2.103218342319529074e-08 -1.667248617328231583e-08 -1.409401561105506906e-08 -1.168637081625911039e-08 -8.109055894974480372e-09
-2.352788939152458680e-08 -1.951411529436432313e-08 -1.701691475347578107e-08 -1.450765855647191682e-08 -1.070579993789854117e-08
