# 5_percentile 25_percentile 50_percentile 75_percentile 95_percentile
-2.356246677263050537e-10 -1.334336796870311259e-11 1.045668070089999374e-11 3.957854158883993001e-11 2.061456042760229090e-10
-2.616459416748123656e-10 -1.342928497355053152e-11 1.176215892804803598e-11 3.223024958357544045e-11 1.950293756244718402e-10
-2.770900326136589709e-10 -1.570915817675384851e-11 1.204755200223846245e-11 2.853407275542861610e-11 1.747829890259670893e-10
-2.840440871333844985e-10 -3.283494374832496288e-11 1.137778239679310133e-11 2.513109363081085512e-11 1.506588363179434120e-10
-2.881890965016759010e-10 -5.984514842233626397e-11 9.593559602868832747e-12 2.222398271813606774e-11 1.232999840465945351e-10
-2.864590929372266837e-10 -7.954437019545672338e-11 6.707869120049910969e-12 1.940042047908312195e-11 9.876280511727369982e-11
-2.797782742107587581e-10 -9.031841065516334199e-11 2.511997717041108968e-12 1.659472768754258545e-11 8.137453840102726321e-11
-2.710239085565967210e-10 -9.494827179264836436e-11 -2.958045917586527018e-12 1.322095295112728219e-11 7.616922564413538405e-11
-2.575311907357467206e-10 -9.176865414491433559e-11 -8.060391587581643147e-12 9.612705752649452345e-12 8.044549222726779525e-11
-2.457963725675631206e-10 -8.431746154145131067e-11 -1.183322674059867491e-11 6.516548422836471177e-12 1.073633062065749294e-10
-2.338444948205183060e-10 -7.098672713014286817e-11 -1.427685530561162430e-11 4.445418053035821854e-12 1.551450990247560391e-10
-2.215493155686282245e-10 -5.346887190817162239e-11 -1.537025102462882820e-11 2.964242024582064428e-12 2.012409351572624905e-10
-2.029710211752869253e-10 -3.829821843773922874e-11 -1.533312565186583515e-11 2.918561659709384415e-12 2.374501692275696185e-10
-1.855093032313015478e-10 -3.123204345427572914e-11 -1.439466529473850103e-11 4.915970245895212587e-12 2.594016098927606762e-10
-1.624258691955426936e-10 -2.613747599974382274e-11 -1.243075886908466543e-11 1.561877370330217590e-11 2.746748587042699419e-10
-1.392541250496912020e-10 -2.214126363535903058e-11 -9.521850559272067999e-12 4.136591596874423377e-11 2.789876719401507277e-10
-1.139777198403552072e-10 -1.800320655086836558e-11 -5.145737541579695207e-12 6.629330274294208125e-11 2.822640103421203417e-10
-9.408061791638458460e-11 -1.365145908642506622e-11 5.639215934765285515e-13 8.355338396528501355e-11 2.791588954084971846e-10
-7.566254418248270774e-11 -9.020775337646724790e-12 6.644522775143147514e-12 9.550077435539197288e-11 2.733026156732584755e-10
-7.140127901363209351e-11 -4.141936292101182360e-12 1.235217101671313988e-11 9.947347576178509898e-11 2.658384313733181542e-10
-7.623185475881186224e-11 1.111079815391963210e-13 1.614057412030467376e-11 9.747451882647674426e-11 2.610294264673287609e-10
-1.062954413074204685e-10 3.118500493644663085e-12 1.823153347041417405e-11 8.932612898600485185e-11 2.533166132369021883e-10
-1.514825684594683919e-10 4.392257658790551730e-12 1.855374984508981195e-11 7.336449750114902579e-11 2.409318896733764204e-10
-1.959469910005166848e-10 3.942914584783609178e-12 1.760860485471461151e-11 5.231495412653247579e-11 2.258845329750416853e-10
-2.312018575450613261e-10 1.467007898080414929e-12 1.566083393067345397e-11 3.653180194332708575e-11 2.053839231932336196e-10
-2.599662688894041618e-10 -6.521382893876111198e-12 1.264631671951677028e-11 2.775141639925482462e-11 1.789394495207638491e-10
-2.781578736332605828e-10 -2.797486233548779344e-11 8.587404618236489651e-12 2.169422763176678814e-11 1.537806061961341508e-10
-2.921041578377806675e-10 -5.761087657277230711e-11 3.132078147186079242e-12 1.637895149912173276e-11 1.268070584246796390e-10
-2.955617522102695072e-10 -8.107114068608978208e-11 -3.359239590054047264e-12 1.084769840414227110e-11 9.988477617716914891e-11
-2.928583262397713161e-10 -9.759864921451977260e-11 -1.003096209068778111e-11 5.038826764148206239e-12 7.765676998477098747e-11
-2.831950004361649675e-10 -1.055237084236597400e-10 -1.514574278710725808e-11 -2.922742749862303202e-14 6.647370447056960563e-11
-2.732853656914335794e-10 -1.053262143300981446e-10 -1.877672960149366632e-11 -4.481655531982185053e-12 6.607790031289140220e-11
-2.605452670018798544e-10 -9.857323301793591286e-11 -2.008467177294637196e-11 -7.119741130207427049e-12 8.266332713821600287e-11
-2.460425548196643053e-10 -8.532771207268516345e-11 -1.995300718269157891e-11 -7.847694878920091766e-12 1.164279457620352037e-10
-2.289321865758808805e-10 -6.728297107828906665e-11 -1.842916943183003919e-11 -6.774377472830092617e-12 1.632429029734157322e-10
-2.134084725342183519e-10 -4.459541882908396593e-11 -1.602719178076320028e-11 -3.554465559775857320e-12 2.022136683630954695e-10
-1.949121831816558181e-10 -3.062080547889395321e-11 -1.247314022358690655e-11 3.268343918666179529e-12 2.375040651344043074e-10
-1.746532370767647779e-10 -2.233293010158593495e-11 -7.761314458112065270e-12 1.672672256304856726e-11 2.634380648195745744e-10
-1.494680695402275661e-10 -1.562797108519906053e-11 -1.977387824065191674e-12 3.869453314622045559e-11 2.797514488941596489e-10
-1.214379313524849985e-10 -9.166564317493464120e-12 4.896941874351842805e-12 6.638758637332424495e-11 2.911377679193881407e-10
-9.081891667742439389e-11 -2.775588796749854301e-12 1.156786640218662732e-11 8.815408369640745367e-11 2.951356839584091951e-10
-6.785126735638080664e-11 2.838803478855296547e-12 1.670381500761160265e-11 1.052039130453302079e-10 2.942793965866712103e-10
-5.425138955422997150e-11 7.029481434873280365e-12 1.987910834208572730e-11 1.118761044091934331e-10 2.897766460379508358e-10
-5.542289560232435686e-11 9.448526406804005906e-12 2.110806684605878725e-11 1.102587647919262004e-10 2.797685417208796432e-10
-7.486109301901855417e-11 9.833572053429689985e-12 2.073982820335537602e-11 1.003750847630019427e-10 2.667721961304575506e-10
-1.179973128755118505e-10 8.286484738944006889e-12 1.896221515310797523e-11 8.317158601916195548e-11 2.484523230596516474e-10
-1.691359758683192577e-10 4.549654422192177250e-12 1.599067593290905143e-11 6.149001891431887801e-11 2.278138245539670925e-10
-2.144399660012480391e-10 -2.422535957236461937e-12 1.200687764274163682e-11 3.559927066944679891e-11 2.030394893014209057e-10
-2.513422468200174342e-10 -1.339972097581625110e-11 6.850699112268161806e-12 2.290299940259539480e-11 1.802111917808754682e-10
-2.783408667938157277e-10 -3.017170991130233015e-11 6.070438951315780540e-13 1.472006992006232896e-11 1.549936027504632274e-10
-2.902738230445463252e-10 -5.252745680366273373e-11 -5.984107733804627099e-12 7.736778906197510838e-12 1.299400217416243897e-10
-2.976832789601188689e-10 -7.743527593770914430e-11 -1.222487431109305772e-11 1.484415441586027506e-12 1.071478511114037219e-10
-2.971696915778608561e-10 -9.557544176658910873e-11 -1.680002185001742976e-11 -3.879164947161867216e-12 8.507494231660417405e-11
-2.908873210664617015e-10 -1.067304901956108582e-10 -1.950256240681146058e-11 -7.723040739912589991e-12 6.914180100854594446e-11
-2.780385969201881746e-10 -1.086955732669189767e-10 -2.060151723694281234e-11 -9.847589161216668829e-12 6.336159982106570610e-11
-2.658368391953228049e-10 -1.042087034610998664e-10 -2.038200749669705214e-11 -1.010870396720917053e-11 6.548046935402063173e-11
-2.496059159058997001e-10 -9.190670273440115778e-11 -1.891460138471121044e-11 -8.565431363857269054e-12 9.284697305694117331e-11
-2.373421546103537949e-10 -7.606370351284641451e-11 -1.593518973188028792e-11 -4.858393160976810787e-12 1.341158401241097919e-10
-2.202104652055877909e-10 -5.366608717203950885e-11 -1.179518299438547801e-11 1.100940688711794097e-12 1.824545576472116903e-10
-1.990802506028101215e-10 -3.013254419202346379e-11 -6.555734213408055677e-12 9.691906795888417803e-12 2.247225738691771210e-10
-1.767108843693347697e-10 -1.691130255851523018e-11 -4.896669177176671967e-13 2.065851028925595051e-11 2.603990460758875969e-10
-1.492815405795475114e-10 -8.397599483194254089e-12 5.895996500271741270e-12 3.628382102015053831e-11 2.824749968302750144e-10
-1.199400421984645783e-10 -1.470076312201293312e-12 1.170732670421718857e-11 6.040740395960378373e-11 2.948806050414361918e-10
-9.027231018905387816e-11 4.185617699875923692e-12 1.637015691188445365e-11 8.578173913385833682e-11 3.036721963299571225e-10
-6.704813733295761358e-11 8.153119130348274179e-12 1.936244732798388102e-11 1.046733371637062482e-10 3.061770979979894225e-10
-5.134676776645530349e-11 1.012027207912893911e-11 2.047312451134656458e-11 1.125733844792482785e-10 2.966334502790997363e-10
-5.013286910170861033e-11 1.023972218323378203e-11 2.026350495818590725e-11 1.121409731567879486e-10 2.803789812626765465e-10
-6.953469896230080050e-11 8.497334983543179676e-12 1.875763040444337892e-11 1.021135708541981435e-10 2.625014643587580965e-10
-1.068995201128982060e-10 4.904511089517515215e-12 1.565764458735276199e-11 8.683830981766685331e-11 2.433062610976768902e-10
-1.594982607360656557e-10 -8.110798951953615554e-13 1.135020786938775034e-11 6.593247020396375557e-11 2.201263445611098546e-10
-2.044574880493560398e-10 -8.163998529943025662e-12 6.256678924683022752e-12 4.116290901884367415e-11 1.999206789699004005e-10
-2.414184156404597381e-10 -1.718357288329076110e-11 4.300097536619022776e-13 2.161604426473263084e-11 1.757699014549168881e-10
-2.681239675813087975e-10 -2.776207131478976298e-11 -5.560119503483437753e-12 1.034011975163933589e-11 1.546577048827831036e-10
-2.861605230119329546e-10 -4.270414837720393209e-11 -1.096800920214174163e-11 2.805573583511671715e-12 1.314870023841688274e-10
-2.955295153560244525e-10 -6.395314833262943921e-11 -1.527278265878520558e-11 -3.033356009950194387e-12 1.120085359098549338e-10
-2.993257334701904249e-10 -8.713290202203016754e-11 -1.806072329993586856e-11 -7.120502321447674809e-12 8.891065065175923765e-11
-2.968887413473328407e-10 -1.028130441026176012e-10 -1.942841899730055055e-11 -9.330331212503706340e-12 7.072589649353977492e-11
-2.837991603873990520e-10 -1.072483232864712699e-10 -1.939496604768872756e-11 -9.502855032278260949e-12 5.842163932527968950e-11
-2.694256952956441964e-10 -1.057070108528845864e-10 -1.813080449528580926e-11 -8.119510516409536582e-12 5.858218597720732390e-11
