totalLogLikelihoodDensity residualTermL1 residualTermH1 noiseNormalizationTermL1 noiseNormalizationTermH1 totalLogPriorDensity H1NoiseLogPriorDensity L1NoiseLogPriorDensity gwLogPriorDensity gwExtrinsicLogPriorDensityTracker gwEllipticalWaveletLogPriorDensity
808391.9448148978 -20684.65548272693 -19684.16960929488 424776.9932917256 423983.7766151941 421.7842493792548 0 0 421.7842493792548 -6.206778379787981 427.9910277590428
824859.0164201048 -11982.99594364697 -11918.75754316797 424776.9932917256 423983.7766151941 157.2546879825828 0 0 157.2546879825828 -6.206778379787981 163.4614663623707
824888.0172182486 -11967.15784375966 -11905.59484491148 424776.9932917256 423983.7766151941 189.3689003192048 0 0 189.3689003192048 -6.206778379787981 195.5756786989928
824986.7033755926 -11909.68356465807 -11864.38296666898 424776.9932917256 423983.7766151941 284.3960855482003 0 0 284.3960855482003 -6.206778379787981 290.6028639279883
825039.3880040778 -11878.96409974056 -11842.41780310131 424776.9932917256 423983.7766151941 384.5338681259739 0 0 384.5338681259739 -6.206778379787981 390.7406465057619
825123.7992581405 -11802.37932457209 -11834.59132420711 424776.9932917256 423983.7766151941 651.4406500716167 0 0 651.4406500716167 -6.206778379787981 657.6474284514047
825161.0156751431 -11797.3318874749 -11802.42234430171 424776.9932917256 423983.7766151941 649.7371098811655 0 0 649.7371098811655 -6.206778379787981 655.9438882609535
825162.9026849431 -11793.96158690984 -11803.90563506686 424776.9932917256 423983.7766151941 649.838100179351 0 0 649.838100179351 -6.206778379787981 656.0448785591391
825156.571530761 -11855.59637467257 -11748.60200148616 424776.9932917256 423983.7766151941 586.629372517927 0 0 586.629372517927 -6.206778379787981 592.836150897715
825180.4026042151 -11784.30184813532 -11796.06545456927 424776.9932917256 423983.7766151941 652.4018849974507 0 0 652.4018849974507 -6.206778379787981 658.6086633772387
825229.0864136466 -11796.07935822795 -11735.60413504507 424776.9932917256 423983.7766151941 586.4245396737524 0 0 586.4245396737524 -6.206778379787981 592.6313180535404
825295.4323653273 -11766.12208930987 -11699.21545228258 424776.9932917256 423983.7766151941 652.1936912153387 0 0 652.1936912153387 -6.206778379787981 658.4004695951268
825316.261730046 -11765.68855655762 -11678.81962031613 424776.9932917256 423983.7766151941 651.6550843236901 0 0 651.6550843236901 -6.206778379787981 657.8618627034781
825341.2017780888 -11747.67867508638 -11671.88945374449 424776.9932917256 423983.7766151941 650.4107351084692 0 0 650.4107351084692 -6.206778379787981 656.6175134882573
825369.3796999357 -11737.85089875122 -11653.53930823286 424776.9932917256 423983.7766151941 649.6462941773472 0 0 649.6462941773472 -6.206778379787981 655.8530725571352
825393.681038826 -11722.79803561503 -11644.29083247859 424776.9932917256 423983.7766151941 649.5756910835422 0 0 649.5756910835422 -6.206778379787981 655.7824694633302
825404.9976822538 -11720.85568187962 -11634.91654278621 424776.9932917256 423983.7766151941 647.4124255166047 0 0 647.4124255166047 -6.206778379787981 653.6192038963927
825415.6598536365 -11712.03206390593 -11633.07798937723 424776.9932917256 423983.7766151941 647.5407649983159 0 0 647.5407649983159 -6.206778379787981 653.747543378104
825432.5074082388 -11707.69079406604 -11620.57170461482 424776.9932917256 423983.7766151941 648.5833422264858 0 0 648.5833422264858 -6.206778379787981 654.7901206062738
825438.7040463984 -11701.61416058125 -11620.45169994006 424776.9932917256 423983.7766151941 648.490349262005 0 0 648.490349262005 -6.206778379787981 654.697127641793
825450.9586477757 -11696.14488729609 -11613.66637184782 424776.9932917256 423983.7766151941 648.4891148277477 0 0 648.4891148277477 -6.206778379787981 654.6958932075357
825499.6988850026 -11661.7182313774 -11599.35279053967 424776.9932917256 423983.7766151941 647.3730808463997 0 0 647.3730808463997 -6.206778379787981 653.5798592261878
825521.0149037514 -11657.92650566903 -11581.82849749922 424776.9932917256 423983.7766151941 646.9464713400449 0 0 646.9464713400449 -6.206778379787981 653.153249719833
