temperature_0 temperature_1 temperature_2 temperature_3 temperature_4 temperature_5 temperature_6 temperature_7 temperature_8 temperature_9 temperature_10 temperature_11 temperature_12 temperature_13 temperature_14 temperature_15 temperature_16 temperature_17 temperature_18 temperature_19 accepted_hotter_swap_0 accepted_hotter_swap_1 accepted_hotter_swap_2 accepted_hotter_swap_3 accepted_hotter_swap_4 accepted_hotter_swap_5 accepted_hotter_swap_6 accepted_hotter_swap_7 accepted_hotter_swap_8 accepted_hotter_swap_9 accepted_hotter_swap_10 accepted_hotter_swap_11 accepted_hotter_swap_12 accepted_hotter_swap_13 accepted_hotter_swap_14 accepted_hotter_swap_15 accepted_hotter_swap_16 accepted_hotter_swap_17 accepted_hotter_swap_18 accepted_hotter_swap_19 acceptance_ratio_0 acceptance_ratio_1 acceptance_ratio_2 acceptance_ratio_3 acceptance_ratio_4 acceptance_ratio_5 acceptance_ratio_6 acceptance_ratio_7 acceptance_ratio_8 acceptance_ratio_9 acceptance_ratio_10 acceptance_ratio_11 acceptance_ratio_12 acceptance_ratio_13 acceptance_ratio_14 acceptance_ratio_15 acceptance_ratio_16 acceptance_ratio_17 acceptance_ratio_18 acceptance_ratio_19 
1 1.03901 1.16542 1.41119 1.84471 2.60323 3.96587 6.78843 11.3694 21.9846 45.7144 108.27 239.41 636.006 1801.78 5482.54 17974.4 63572.6 242676 1e+06 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 
1 1.03537 1.16178 1.40754 1.88572 2.57341 3.93604 7.04934 11.2025 21.8177 47.9918 104.706 249.354 645.949 1702.86 5383.62 17875.5 68170.5 230548 1e+06 0 1 1 1 0 1 1 0 1 1 0 1 0 0 1 1 1 0 1 0 0.5 1 1 1 0.5 1 1 0 1 1 0.5 0.5 0.5 0.5 1 1 1 0.5 1 0 
1 1.03537 1.16178 1.40754 1.88572 2.64352 3.88008 6.99338 11.57 21.203 47.3771 104.091 263.487 660.082 1716.99 5057.19 17549.1 67844.1 230222 1e+06 1 1 1 1 1 0 1 1 0 1 1 1 0 0 0 1 1 1 1 0 0.6666666666666666 1 1 1 0.6666666666666666 0.6666666666666666 1 0.3333333333333333 0.6666666666666666 1 0.6666666666666666 0.6666666666666666 0.3333333333333333 0.3333333333333333 0.6666666666666666 1 1 0.6666666666666666 1 0 
1 1.03213 1.15853 1.4043 1.93074 2.68854 3.9251 7.0384 11.1954 20.8285 47.0026 103.717 279.2 639.437 1696.35 5036.55 18789.2 64473.4 226851 1e+06 0 1 1 1 0 0 0 0 1 1 1 1 0 1 1 1 0 1 1 0 0.5 1 1 1 0.5 0.5 0.75 0.25 0.75 1 0.75 0.75 0.25 0.5 0.75 1 0.75 0.75 1 0 
1 1.02921 1.16825 1.41401 1.89263 2.72615 3.96271 7.07601 10.8554 21.451 47.6251 99.1871 274.671 634.908 1797.43 4834.19 18586.9 64271 226649 1e+06 0 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 1 1 1 0 0.4 1 0.8 0.8 0.6 0.4 0.6 0.2 0.8 0.8 0.6 0.8 0.4 0.6 0.6 1 0.8 0.8 1 0 
1 1.02921 1.16825 1.41401 1.84954 2.76552 3.89076 7.31207 11.0915 21.687 45.5048 102.168 261.853 622.09 1784.61 4821.37 18574.1 64258.2 226636 1e+06 0 0 0 0 1 0 1 0 0 0 1 0 1 1 1 1 1 1 1 0 0.3333333333333333 0.8333333333333334 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.3333333333333333 0.6666666666666666 0.1666666666666667 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5 0.6666666666666666 0.6666666666666666 1 0.8333333333333334 0.8333333333333334 1 0 
1 1.02921 1.16825 1.41401 1.84954 2.68379 3.91927 7.34058 11.12 20.7702 44.5879 106.802 266.487 626.725 1685.52 5019.78 17545.4 63229.6 225607 1e+06 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 0 0.2857142857142857 0.7142857142857143 0.5714285714285714 0.5714285714285714 0.5714285714285714 0.4285714285714285 0.5714285714285714 0.1428571428571428 0.5714285714285714 0.7142857142857143 0.7142857142857143 0.5714285714285714 0.4285714285714285 0.5714285714285714 0.7142857142857143 0.8571428571428571 0.8571428571428571 0.8571428571428571 1 0 
1 1.02921 1.18173 1.40577 1.88355 2.7178 3.84401 7.59724 11.0424 20.6926 44.5104 112.76 272.446 600.825 1659.62 4993.88 17519.5 63203.7 225581 1e+06 1 1 0 1 0 0 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0.375 0.75 0.5 0.625 0.5 0.375 0.625 0.125 0.625 0.75 0.75 0.5 0.375 0.625 0.75 0.875 0.875 0.875 1 0 
1 1.03201 1.18454 1.40857 1.88635 2.72061 3.84682 7.60005 10.7432 21.3206 45.1384 107.405 267.091 595.47 1654.26 5308.89 16736.5 62420.7 224798 1e+06 1 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 1 1 1 0 0.4444444444444444 0.6666666666666666 0.4444444444444444 0.5555555555555556 0.4444444444444444 0.3333333333333333 0.5555555555555556 0.1111111111111111 0.6666666666666666 0.6666666666666666 0.6666666666666666 0.5555555555555556 0.4444444444444444 0.6666666666666666 0.7777777777777778 0.7777777777777778 0.8888888888888888 0.8888888888888888 1 0 
1 1.03506 1.18759 1.41162 1.8894 2.72365 3.84987 7.60309 10.4731 22.0572 43.8052 106.072 280.955 580.798 1740.36 5077.4 16505 62189.2 224567 1e+06 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 1 1 1 1 0 0.5 0.6 0.4 0.5 0.4 0.3 0.5 0.1 0.7 0.6 0.7 0.6 0.4 0.7 0.7 0.8 0.9 0.9 1 0 
