domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 4.808636912449945e-44
20.25 8.197922018254681e-44
20.5 2.574825282135261e-44
20.75 3.171102660674287e-44
21 4.621183966048128e-44
21.25 4.419441838331129e-44
21.5 3.767603205524822e-44
21.75 6.356537908185203e-44
22 3.984539946383861e-44
22.25 2.478589272577278e-44
22.5 8.596457404380233e-45
22.75 4.762060380948658e-44
23 1.013402241124967e-43
23.25 1.29534199821658e-44
23.5 1.826659612560046e-44
23.75 1.768625175894371e-44
24 2.449008967179175e-44
24.25 2.251634058416506e-44
24.5 4.707106672922249e-44
24.75 2.427912492701466e-44
25 1.368048446725459e-43
25.25 1.799602884698771e-43
25.5 5.399703231164931e-44
25.75 1.012450636685968e-44
26 2.21743099046957e-44
26.25 1.097458718217566e-44
26.5 7.415814662233551e-44
26.75 1.333622728067749e-44
27 5.370913554500194e-44
27.25 1.69054841771075e-43
27.5 9.748653187181752e-44
27.75 4.072881824999728e-44
28 2.840064014679297e-44
28.25 2.826606865568767e-44
28.5 1.874641743019628e-44
28.75 2.406673388160829e-44
29 4.17601170623581e-44
29.25 1.686458599144874e-43
29.5 3.718484009801639e-44
29.75 9.087356323029868e-44
30 1.675822921720035e-44
30.25 4.880525127671334e-44
30.5 4.938640471537462e-44
30.75 7.293404602410755e-44
31 3.3193834059698e-44
31.25 2.045886385028655e-44
31.5 7.886309540140388e-45
31.75 3.894678645554355e-44
32 6.364189212151338e-44
32.25 5.51789561006968e-44
32.5 4.013898072209244e-44
32.75 1.902834650587224e-44
33 2.039355825129776e-44
33.25 4.076603948665926e-44
33.5 2.019544991646061e-44
33.75 3.212904782434995e-44
34 5.228251066414206e-44
34.25 3.258075753910916e-44
34.5 2.355618541310442e-44
34.75 3.292551971858789e-44
35 4.171912836884123e-44
35.25 1.231179949873798e-44
35.5 3.059177322730332e-44
35.75 1.619557290639329e-44
36 1.48594982256024e-44
36.25 2.310812531449601e-44
36.5 2.965182760306692e-44
36.75 5.786942601688984e-44
