domain units: Hz
measurement data type: std::complex<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 (0,0)
0.25 (0,0)
0.5 (0,0)
0.75 (0,0)
1 (0,0)
1.25 (0,0)
1.5 (0,0)
1.75 (0,0)
2 (0,0)
2.25 (0,0)
2.5 (0,0)
2.75 (0,0)
3 (0,0)
3.25 (0,0)
3.5 (0,0)
3.75 (0,0)
4 (0,0)
4.25 (0,0)
4.5 (0,0)
4.75 (0,0)
5 (0,0)
5.25 (0,0)
5.5 (0,0)
5.75 (0,0)
6 (0,0)
6.25 (0,0)
6.5 (0,0)
6.75 (0,0)
7 (0,0)
7.25 (0,0)
7.5 (0,0)
7.75 (0,0)
8 (0,0)
8.25 (0,0)
8.5 (0,0)
8.75 (0,0)
9 (0,0)
9.25 (0,0)
9.5 (0,0)
9.75 (0,0)
10 (0,0)
10.25 (0,0)
10.5 (0,0)
10.75 (0,0)
11 (0,0)
11.25 (0,0)
11.5 (0,0)
11.75 (0,0)
12 (0,0)
12.25 (0,0)
12.5 (0,0)
12.75 (0,0)
13 (0,0)
13.25 (0,0)
13.5 (0,0)
13.75 (0,0)
14 (0,0)
14.25 (0,0)
14.5 (0,0)
14.75 (0,0)
15 (0,0)
15.25 (0,0)
15.5 (0,0)
15.75 (0,0)
16 (0,0)
16.25 (0,0)
16.5 (0,0)
16.75 (0,0)
17 (0,0)
17.25 (0,0)
17.5 (0,0)
17.75 (0,0)
18 (0,0)
18.25 (0,0)
18.5 (0,0)
18.75 (0,0)
19 (0,0)
19.25 (0,0)
19.5 (0,0)
19.75 (0,0)
20 (-1.694479871526747,-0.01444593969965695)
20.25 (1.624759500508226,-1.233386385486356)
20.5 (0.3463103211826965,-0.461554273165182)
20.75 (-0.4957564237885382,-0.3957809344231924)
21 (1.754726900532847,1.413675625882115)
21.25 (1.444026688849016,-0.3078741297491215)
21.5 (-2.052544355186182,1.592814313274175)
21.75 (-1.08395125201795,0.251811696261991)
22 (1.854667446673173,0.1341241479107226)
22.25 (-2.555909158698177,-0.3232380270000644)
22.5 (-1.974261215821572,-0.4372064776565682)
22.75 (-0.9186778191428204,-0.7406327554068687)
23 (1.436230847554149,-1.56820853586955)
23.25 (0.3979389257099932,0.6086362419796933)
23.5 (2.2932927049448,1.443169119447606)
23.75 (1.123660711060299,0.5557338339928229)
24 (-1.218597249933628,3.833282886045978)
24.25 (-2.098939990844294,-1.160241863647004)
24.5 (-1.63583105657773,-1.176491901739832)
24.75 (1.867190139819292,-0.4434108620018218)
25 (0.7782663478350993,-1.504791520344823)
25.25 (0.3945335155112183,1.482251644102068)
25.5 (-0.9682746095135527,1.214142624454565)
25.75 (-1.226484180082065,-1.394813699263366)
26 (-2.167026512895243,-2.63404258125332)
26.25 (0.1535789403089903,0.4224080728079685)
26.5 (1.616802866427059,-1.549442720671585)
26.75 (1.733042192608175,0.268905924402011)
27 (1.605919037776619,0.6450197579922899)
27.25 (0.06553793683941281,1.739695134306937)
27.5 (-1.54170994305455,0.01326623316305414)
27.75 (0.2098814909349842,-1.10724341820439)
28 (-1.06573557859995,1.208333800226354)
28.25 (-0.8546841563942261,-1.110984822421801)
28.5 (1.007346536978496,-1.660499586675474)
28.75 (1.78871761486124,-0.2071395404338906)
29 (1.13978875602311,1.881067679852095)
29.25 (-1.445385779739247,0.8146386943796297)
29.5 (0.8113531621566333,-0.3108917677462005)
29.75 (-1.661569431148463,-1.115576394495886)
30 (0.1865158211138992,-0.1311002750802151)
30.25 (1.668342926229544,-1.033377596934644)
30.5 (-1.904702103299329,1.197297455559006)
30.75 (0.873911234466805,-1.69495752319522)
31 (0.7093306683092442,0.1663318596408213)
31.25 (-0.8517069352751326,-0.3915290598517145)
31.5 (3.599091216734889,0.3807617767129812)
31.75 (1.203681318100602,0.5442678948098034)
32 (-1.148988128679092,-0.6183249035768786)
32.25 (1.083522019929529,2.046404841064322)
32.5 (0.1905539807491586,-1.221763034083967)
32.75 (-1.040081510801244,0.6410699113271269)
33 (1.918210508494627,3.812711084192733)
33.25 (-2.566644400775167,0.5173294022464631)
33.5 (-1.916522806616139,-4.110850745783273)
33.75 (-0.8201280908407594,0.7499041590427449)
34 (1.430593794270256,-0.9631094559863148)
34.25 (0.5292114159104572,-1.320715574778782)
34.5 (-1.495660847459157,0.2690528729903874)
34.75 (0.1713063469383915,-0.5068164845916929)
35 (2.002193268677058,-0.1372552849107784)
35.25 (0.3776639380302483,-1.513624304269315)
35.5 (1.009537437803879,0.2805234996084235)
35.75 (-0.4812258735268118,1.905193899875649)
36 (1.439281328427812,1.514728771569944)
36.25 (1.911289563407877,-0.6480541086023833)
36.5 (-0.8656359967845811,1.754048437114064)
36.75 (-1.798898217738366,1.643879703109645)
37 (-0.3695124473896879,-0.6814163340794754)
37.25 (0.7360125784996018,-0.9803737940128172)
37.5 (-1.937318949596401,-0.6994396370091002)
37.75 (-1.285410656898398,1.259742859536953)
38 (-0.9916547369588674,-0.9225783149352433)
38.25 (1.47329990909129,-0.8169652052894405)
38.5 (-0.8928455759138433,-2.844819561310631)
38.75 (3.212594616358263,-0.0792859211890545)
39 (2.550310415691639,1.160570101907398)
39.25 (1.517389694731142,2.263329448432583)
39.5 (-1.001592561405525,-0.2903071343588932)
39.75 (1.030526385116829,0.7601948138789505)
40 (-2.506067159583126,1.349072784561868)
40.25 (-0.7171093337675025,-0.8362344992292612)
40.5 (1.903166168376644,-0.9473719830594268)
40.75 (-1.175367498107435,0.9308977854805166)
41 (1.281837054631408,1.567634877892693)
41.25 (-0.6973436652763271,-1.096161534205071)
41.5 (0.962113738554485,1.190907104864392)
41.75 (-1.197584679829882,0.4739749558942392)
42 (-0.5271991523049688,-1.318579435711167)
42.25 (0.8873620471224312,-1.345827777591841)
42.5 (1.20538727000831,-1.411046366683297)
