domain units: Hz
measurement data type: Positive<double>
segment length (sec): 4
sampling rate (Hz): 4096
domain bounds (Hz): [0, 2048.25)
support bounds (Hz): [20, 1024)support indexes: [80, 4096)
---------------
domainValue measuredValue
0 1
0.25 1
0.5 1
0.75 1
1 1
1.25 1
1.5 1
1.75 1
2 1
2.25 1
2.5 1
2.75 1
3 1
3.25 1
3.5 1
3.75 1
4 1
4.25 1
4.5 1
4.75 1
5 1
5.25 1
5.5 1
5.75 1
6 1
6.25 1
6.5 1
6.75 1
7 1
7.25 1
7.5 1
7.75 1
8 1
8.25 1
8.5 1
8.75 1
9 1
9.25 1
9.5 1
9.75 1
10 1
10.25 1
10.5 1
10.75 1
11 1
11.25 1
11.5 1
11.75 1
12 1
12.25 1
12.5 1
12.75 1
13 1
13.25 1
13.5 1
13.75 1
14 1
14.25 1
14.5 1
14.75 1
15 1
15.25 1
15.5 1
15.75 1
16 1
16.25 1
16.5 1
16.75 1
17 1
17.25 1
17.5 1
17.75 1
18 1
18.25 1
18.5 1
18.75 1
19 1
19.25 1
19.5 1
19.75 1
20 5.500287128207167e-44
20.25 9.669991210295347e-44
20.5 2.855587364595823e-44
20.75 3.738411362010138e-44
21 5.684411135388375e-44
21.25 4.952153402978097e-44
21.5 4.968502669912832e-44
21.75 7.507199175321749e-44
22 5.404697696140973e-44
22.25 3.452532018051585e-44
22.5 1.221292971810807e-44
22.75 5.435879634736964e-44
23 1.207990632339721e-43
23.25 1.606992581404175e-44
23.5 2.114796172551073e-44
23.75 2.133093769444477e-44
24 2.805652778766099e-44
24.25 3.248649405173401e-44
24.5 5.657488365228097e-44
24.75 2.574656159543418e-44
25 1.665389643747203e-43
25.25 2.209493113098187e-43
25.5 6.537511016472809e-44
25.75 1.193429380672992e-44
26 2.672163424675981e-44
26.25 1.150738889198771e-44
26.5 9.108767616712889e-44
26.75 1.473571390130696e-44
27 6.831511215555488e-44
27.25 2.096815379452223e-43
27.5 1.162056393819428e-43
27.75 4.843409606159669e-44
28 3.701768425127713e-44
28.25 3.351102399817045e-44
28.5 2.274844355402698e-44
28.75 2.887125727094227e-44
29 4.89970099327273e-44
29.25 2.140277058496447e-43
29.5 4.495935628387544e-44
29.75 1.16298117060704e-43
30 1.967544843826757e-44
30.25 6.616345642890576e-44
30.5 6.971333106292276e-44
30.75 9.511278849381963e-44
31 4.101055341393246e-44
31.25 2.808860346988747e-44
31.5 9.617079245204014e-45
31.75 4.726654106359385e-44
32 8.214651960964751e-44
32.25 6.619054012021263e-44
32.5 5.085215460441522e-44
32.75 2.370164963101379e-44
33 2.241890505431484e-44
33.25 5.812344753653651e-44
33.5 2.435360591631404e-44
33.75 3.747713581008463e-44
34 6.011392530862773e-44
34.25 3.83915581084635e-44
34.5 2.910604696432539e-44
34.75 3.958774788754176e-44
35 5.202046376954637e-44
35.25 1.626306678093377e-44
35.5 3.778043453301697e-44
35.75 1.974786618949633e-44
36 1.896150835889037e-44
36.25 2.747771727448709e-44
36.5 3.680645959044052e-44
36.75 6.800492822667341e-44
